don't	 [dəʊnt]	n. 	不要，禁忌；莫；别；甭
it's	 [ɪts]	 	it is的缩写，it has的缩写
I'm	 [aɪm]	abbr. 	I am 我是
didn't	 [ˈdɪdnt]	abbr. 	did not 没有
that's	 [ðæts]	n. 	说得更精确些，简而言之
you're	 [jʊə(r)]	abbr. 	you are 你（你们）是
can't	 [kɑ:nt]	v. 	不能，不会
I've	 [aɪv]	abbr. 	I have 已经
there's	 [ðeəz]	n. 	那儿有
I'll	 [aɪl]	abbr. 	I shall 我将；I will 我将
wasn't	 [ˈwɒznt]	prep. 	不是
couldn't	 [ˈkʊdnt]	v. 	不能
isn't	 [ˈɪznt]	 	不是
doesn't	 [ˈdʌznt]	aux. 	表示否定
he's	 [hi:z]	abbr. 	he has 他有（缩略语）；he is 他是（缩略语）
you've	 [ju:v]	abbr. 	you have 你（们）已经
wouldn't	 [ˈwʊdnt]	 	=would not
they're	 [ðeə(r)]	abbr. 	they are 他们是
won't	 [wəʊnt]	 	将不，不会（=will not）
we're	 [wɪə(r)]	 	(we are 的常用口语形式)
I'd	 [aɪd]	abbr. 	I should 我将；I could 我能；I would 我将；I had 我已经
hadn't	 [ˈhædnt]	abbr. 	had not 没有
what's	 [wɒts]	 	（尤当 has 为助动词时，what is 或 what has 的常用口语形式）；乌
we've	 [wi:v]	 	（尤当 have 为助动词时，we have 的常用口语形式）
you'll	 [ju:l]	 	你将(=you will)
haven't	 [ˈhævnt]	 	=have not
I'd	 [aɪd]	abbr. 	I should 我将；I could 我能；I would 我将；I had 我已经
she's	 [ʃi:z]	abbr. 	she has 她（已经）；she is 她是
let's	 [lets]	abbr. 	let us 让我们
we'll	 [wi:l]	 	(we shall或 we will 的常用口语形式)
he'd	 [hi:d]	abbr. 	he had 他有（英略语）；he would 他将要，他可能要
it's	 [ɪts]	 	it is的缩写，it has的缩写
aren't	 [ɑ:nt]	 	不是
he's	 [hi:z]	abbr. 	he has 他有（缩略语）；he is 他是（缩略语）
they've	 [ðeɪv]	abbr. 	they have 他们曾经
you'd	 [ju:d]	abbr. 	you had 你已经；you would 你应该
o'clock	 [əˈklɒk]	adv. 	…点钟
weren't	 [wɜ:nt]	prep. 	不是
shouldn't	 [ˈʃʊdnt]	abbr. 	should not 不应该
they'll	 [ðeɪl]	abbr. 	they will 他们将
he'll	 [hi:l]	abbr. 	he will 他将会
she'd	 [ʃi:d]	abbr. 	she had 她已经；she would 她可以
who's	 [hu:z]	abbr. 	who is 谁是…
hasn't	 [ˈhæznt]	 	=has not
he'd	 [hi:d]	abbr. 	he had 他有（英略语）；he would 他将要，他可能要
we'd	 [wi:d]	abbr. 	we had 我们已；we should 我们应
you'd	 [ju:d]	abbr. 	you had 你已经；you would 你应该
it'll	 [ˈɪtl]	 	it will的缩写，it shall的缩写
she'd	 [ʃi:d]	abbr. 	she had 她已经；she would 她可以
they'd	 [ðeɪd]	abbr. 	they had 他们过去曾经；they would 他们愿意
they'd	 [ðeɪd]	abbr. 	they had 他们过去曾经；they would 他们愿意
she's	 [ʃi:z]	abbr. 	she has 她（已经）；she is 她是
ain't	 [eɪnt]	prep. 	不是
		 	没有
she'll	 [ʃi:l]	abbr. 	she will 她要
we'd	 [wi:d]	abbr. 	we had 我们已；we should 我们应
mustn't	 [ˈmʌsnt]	v. 	must not的缩写；不得
there's	 [ðeəz]	n. 	那儿有
here's	 [hɪəz]	 	=here is
've		 	have 的缩略形式
where's		 	在哪里=where is
d'you	 [d'ju:]	 	(D'you 为口语中 do you 或 did you 的简写形式)
who'd	 [hu:d]	 	（尤其当 had 为助动词时，who had 的常用口语形式）；(who would 的一种口语形式)
that's	 [ðæts]	n. 	说得更精确些，简而言之
that'll	 ['tætl]	 	(that will 的一种口语形式)
needn't	 [ˈni:dnt]	 	need not之缩写
ma'am	 [mæm]	n. 	（对妇女的尊称）夫人
shan't	 [ʃɑ:nt]	abbr. 	shall not 不应该（口语的）
master's		 	（文学、理学）硕士学位
ain't	 [eɪnt]	prep. 	不是
		 	没有
what's	 [wɒts]	 	（尤当 has 为助动词时，what is 或 what has 的常用口语形式）；乌
it'd	 [ˈɪtəd]	abbr. 	it had 已经；it would 将要
