within	 [wɪˈðɪn]	adv. 	在内，在里面；在屋内；在心中，心里是
		prep. 	不超过，在…的范围内；在…能达到的地方；在…内，在…里面
		n. 	内部，里面
done	 [dʌn]	adj. 	已完成的；煮熟的；合乎礼仪的；合乎规矩的
		int. 	（表示接受建议）
		v. 	做( do的过去分词)；干
along	 [əˈlɒŋ]	adv. 	一起；向前；进展；到某处
		prep. 	沿着；顺着；靠着…边
turned	 ['tɜ:nd]	v. 	（使）转动( turn的过去式和过去分词 )；旋转；（使）改变方向；（使）不适
god	 [gɒd]	n. 	上帝，造物主；被极度崇敬的人[物]；男神；戏院顶层楼座观众
		vt. 	膜拜；崇拜
sense	 [sens]	n. 	感觉，官能；意识，观念；理性；识别力
		vt. 	感到；理解，领会；检测出
week	 [wi:k]	n. 	一星期，周；工作周（一个星期中的工作时间）
best	 [best]	adj. 	最好的( good和well的最高级)；最愉快的；最幸福的；最合适的
		adv. 	最好地；最出色地；最高标准地
		n. 	佼佼者；（个人的）最高水平；最重要的优越性；最好的东西，最合乎要求的事物
		vt. 	[口]打败，胜过
change	 [tʃeɪndʒ]	vt. 	改变，变更；交换，替换；兑换；换衣服（床单）
		vi. 	改变，转变；交换，互换；换衣，更衣
		n. 	变化，改变；交换，交替；零钱，找头；代替物
kind	 [kaɪnd]	n. 	〈古〉方式，方法；本质，天性；同类；某类
		adj. 	仁慈的，体贴的；友善的，好心的；温和；宽宏大量的
began	 [bɪˈgæn]	v. 	开始( begin的过去式 )；着手；创始；创办
child	 [tʃaɪld]	n. 	小孩，孩子；幼稚的人；产物；弟子
ever	 [ˈevə(r)]	adv. 	永远；曾经，这以前；究竟，到底；可能
law	 [lɔ:]	n. 	法；法学；规律；法制
		vt.& vi. 	[口语、方言]诉诸法律，对…起诉，控告
		vt. 	控告；对…起诉
matter	 [ˈmætə(r)]	n. 	事件；（讨论、考虑等的）问题；重要性；物质
		vi. 	要紧，重要；化脓；有重大影响；有重要性
least	 [li:st]	adj. 	最小的；最少的（ little的最高级）；最不重要的，地位最低的
		adv. 	最少，最小
		n. 	最小；最少量
means	 [mi:nz]	n. 	方法（ mean的名词复数）；手段；收入；财富
		v. 	意味着（ mean的第三人称单数）；引起；打算或注定要某人成为或做某事
question	 [ˈkwestʃən]	n. 	问题；疑问；怀疑；议题
		vt. 	问（某人）问题；对（某事物）表示[感到]怀疑
act	 [ækt]	v. 	行动；表现；表演；起作用
		n. 	行为；行动；法案，法令；短节目
close	 [kləʊz]	adj. 	紧密的；亲密的；亲近的
		vt. 	关；结束；使靠近
		vi. 	关；结束；关闭
		adv. 	紧密地
		n. 	结束
