several	 [ˈsevrəl]	adj. 	几个的；专有的；各自的；分别的
		pron. 	几个，数个；一些
children	 [ˈtʃɪldrən]	n. 	孩子们(child的复数)；儿童；膝下；孥
service	 [ˈsɜ:vɪs]	n. 	服务，服侍；服务业；维修服务；服役
		vt. 	检修，维修；向…提供服务；保养；满足需要
		adj. 	服务性的；耐用的；服现役的
feel	 [fi:l]	vt. 	感觉；认为；触摸；试探
		vt.& vi. 	感觉，觉得；认为，以为；触摸
		n. 	感觉；触摸；感受；触觉
		vi. 	觉得；摸索
important	 [ɪmˈpɔ:tnt]	adj. 	重要的；权威的；有势力的；有地位的
rather	 [ˈrɑ:ðə(r)]	adv. 	稍微，有点；相当，颇；宁愿；相反地
		int. 	当然啦，怎么不
name	 [neɪm]	n. 	名字；名声；有…名称的；著名的人物
		vt. 	确定；决定；给…取名；说出…的名字
		adj. 	著名的；据以取名
per	 [pə(r)]	prep. 	由；（表示根据）依照；（表示比率）（尤指数量，价格，时间）每
		adv. 	每次；每个；照常；按惯例
		adj. 	高的，过的，全的
among	 [əˈmʌŋ]	prep. 	（表示牵涉）经过；（表示位置）处在…中；（表示范围）在…之内；（表示所属）为…所特有
often	 [ˈɒfn]	adv. 	常常；经常；时常；再三
turn	 [tɜ:n]	vt.& vi. 	使转动；旋转；使改变方向；使不适
		vt. 	使变酸；使变换；使变为
		n. 	翻转；（路线或方向的）改变；机会
development	 [dɪˈveləpmənt]	n. 	发展，进化；被发展的状态；新生事物，新产品；开发区
keep	 [ki:p]	vt. 	保持；保留；遵守；阻止
		vi. 	（食品）保持新；保持健康
		n. 	保持，保养；供养，抚养；生活，生计；饲料；牧草
family	 [ˈfæməli]	n. 	家庭；家族；孩子；祖先
		adj. 	家庭的；一家所有的；属于家庭的；适合全家人的
seemed		v. 	好像，仿佛( seem的过去式和过去分词 )
white	 [waɪt]	adj. 	白色的，纯洁的；无色的，透明的；白衣的；白种人的
		n. 	白色；白种人；空白；白色颜料
		vt. 	（书写，印刷等）留出空白处；使变白色，刷白；漂白
company	 [ˈkʌmpəni]	n. 	公司，商号；作伴，伴侣，客人；连队，中队；（社交）集会，聚会
mind	 [maɪnd]	n. 	心，精神，心力，知，智力，智慧；心胸，头脑，人；愿望，目的，意向，意志，决心，见解，意见；记忆，记性，记忆力，回想
		vi. 	介意；注意
		vt. 	专心于；介意；愿意做；照顾
members	 ['membəz]	n. 	成员( member的名词复数 )；分子；身体部位（尤指胳膊或腿）
others		n. 	别的( other的名词复数 )；其他的；（两个中的）另一个；其余的
