light	 [laɪt]	n. 	光；发光体；电灯；点火器
		adj. 	轻的；明亮的；浅色的；少量的
		v. 	点燃；照亮；用光指引
		adv. 	轻地，轻装地
business	 [ˈbɪznəs]	n. 	商业，交易；生意；事务，业务；职业，行业
president	 [ˈprezɪdənt]	n. 	校长；总统；总裁；董事长
help	 [help]	vt.& vi. 	帮助；有助于， 有利于
		vt. 	治疗；避免；招待（客人）；给…盛（饭、菜）
		n. 	帮助；助手；补救办法；有用
		vi. 	（在餐桌旁）招待，侍应，作仆人（或店员、服务员等）
		int. 	[呼救语]救命！
power	 [ˈpaʊə(r)]	n. 	[机]动力，功率；力量；政权，权力；强国，大国
		vt. 	运转；用发动机发动；使…有力量
		vi. 	靠动力行进；快速行进
		adj. 	权力的；机械能的，电动的；用电力（或动力）发动的
country	 [ˈkʌntri]	n. 	国家；国民；乡下；地区
next	 [nekst]	adj. 	紧接在后的；次于的；贴近的；紧邻的
		adv. 	接下去；然后；居后地；依次的
		n. 	下一位；下一个
		prep. 	靠近；居于…之后；在…的隔壁
things	 [θɪŋz]	n. 	（个人的）用品；需要的东西；生物；事实；物（ thing的名词复数 ）
word	 [wɜ:d]	n. 	单词；话语；诺言；消息
		vt. 	措辞，用词；用言语表达
		vi. 	讲话
looked	 [lʊkt]	v. 	看，瞧( look的过去式和过去分词 )；注意；面向；寻找
real	 [ˈri:əl]	adj. 	真的；真实的，现实的；事实上的；真诚的
		adv. 	真正，实在；确实地
		n. 	实在，现实；实数
John	 [dʒɒn]	n. 	约翰（男子名）；约翰(中的人物)；约翰福音(中的一卷)；(j-)盥洗室
		 	[男子名] [英格兰人姓氏] 约翰来源于希伯来语，含义是“耶和华是仁慈的”(Jehovah is gracious) 昵称Jack,Jackie,Jan,Jock,Jockie,Johnnie,Johnny
line	 [laɪn]	n. 	排；线路；线条；方法
		vt. 	排队；用线标出；[棒球]（击球手）击出（平直球）；给…安衬里
		vi. 	（在某物的内部）形成一层；排队，排列成行，排齐（常与 up 连用）；[棒球]（击球手）击出平直球；（击球手因击出的平直球被对方接住而）出局
second	 [ˈsekənd]	n. 	秒；瞬间；次货；第二份食物
		adj. 	第二的；次要的；居第二位的；另外的
		adv. 	第二；其次；以第二位
		vt. 	支持；临时调派；附议；赞成提案
church	 [tʃɜ:tʃ]	n. 	[宗]教堂；[宗]教徒；[宗]教派；[宗]教会
		adj. 	教会的；礼拜的
		vt. 	领…到教堂接受宗教仪式
seem	 [si:m]	v. 	好像，仿佛；似乎；装作；看来好像
certain	 [ˈsɜ:tn]	adj. 	某一；必然的；已确定的
		pron. 	[动词用复数]某些
big	 [bɪg]	adj. 	大的；重要的；（计划）庞大的；大方的
		adv. 	大量地；成功地；夸大地；宽宏大量地
		n. 	大亨；大公司
Four		 	含有可待因的醋氨酚片剂
felt	 [felt]	n. 	毛毡
		v. 	摸索( feel的过去式和过去分词 )；触；深感；以为
