early	 [ˈɜ:li]	adj. 	早的；早期的；早日的；（果实等）早熟的
		adv. 	早；在初期；先前；提早
almost	 [ˈɔ:lməʊst]	adv. 	几乎，差不多；将近；快要；近乎
let	 [let]	 	允许，任由；让，随；假设；出租
open	 [ˈəʊpən]	adj. 	敞开的，开着的；公开的，公共的；坦率的；有议论余地的
		vt.& vi. 	（打）开；开始；睁开；启动
		n. 	户外，野外；空旷；公开
		vi. 	使打开；展示，显现
		vt. 	张开；开放；开张营业；为（建筑物）揭幕
enough	 [ɪˈnʌf]	adv. 	足够地，充足地；十分地
		adj. 	充足的；足够的
		n. 	充分，足够；满足
		int. 	够了
side	 [saɪd]	n. 	面，边；方面；侧面；旁边
		adj. 	侧面的；旁边的；次要的，枝节的；副的
		vi. 	支持，同意；偏袒；附和；站在…一边
case	 [keɪs]	n. 	（实）例，事例；情况，状况；诉讼（事件），案件，判例；容器（箱，盒）
		vt. 	把…装入箱（或盒等）内；加盖于；包围，围住；[俚语]（尤指盗窃前）探察，侦查，窥测
days	 [deɪz]	n. 	天，时期；一天( day的名词复数 )；白天；时期；工作日
		adv. 	每天，在白天
yet	 [jet]	adv. 	但是；还；已经；又，再
		conj. 	然而，但是
better	 [ˈbetə(r)]	adj. 	较好的；更合适的；能力更强的；好转的
		adv. 	更好地；更妥；更
		v. 	胜过；上进
		n. 	更好者；更有才智者
nothing	 [ˈnʌθɪŋ]	pron. 	没有东西；没有事情；无关紧要的东西；毫无趣味的事
		n. 	无关紧要的人[事]；零；无
		adv. 	毫不；决不
tell	 [tel]	vt. 	告诉，说；辨别；吩咐；讲述
		vt.& vi. 	分辨，辨别；告诉，吩咐；泄漏；保证
		vi. 	泄密，告发；（颜色、声音等）显示；识别
		n. 	[考古学]（古代村落遗址堆积而成的）台形土墩；[方言]讲的话；谈话；传闻
problem	 [ˈprɒbləm]	n. 	问题；疑难问题；习题；引起麻烦的人
		adj. 	成问题的；难处理的；关于社会问题的
toward	 [tə'wɔ:d]	prep. 	对于；向；为了；接近
		adj. 	即将来到的；进行中的
given	 [ˈgɪvn]	adj. 	指定的，确定的；假设的，假定的；有…倾向的；赠送的
		prep. 	（表示原因）考虑到；（表示假设）倘若，假定
		n. 	假设
		v. 	给予，赠送( give的过去分词)
why	 [waɪ]	adv. 	（用于问句）为什么；为何；（反问，表示不必）何必；（说明理由）为什么
		int. 	呵唷，哎呀，嗨
		n. 	理由；原因；说明；难解的问题
national	 [ˈnæʃnəl]	adj. 	国家的；国有的；国民的；民族主义的
		n. 	[常用复数]全国性比赛；某国国民；全国性报刊；（机构等的）全国总部
room	 [ru:m]	n. 	房间；空间；余地；房间里所有的人
		vt. 	租房，合住；为…提供住处；投宿，住宿；留…住宿
young	 [jʌŋ]	adj. 	年幼的；有朝气的；年轻人的；青年的
		n. 	年轻人；幼小的动物，崽
social	 [ˈsəʊʃl]	adj. 	社会的，社会上的；交际的，社交的；群居的；合群的
		n. 	联谊会，联欢会；社交聚会
