city	 [ˈsɪti]	n. 	城市；全市居民；（由国王或女王授予特权，通常有大教堂的）特许市；（由政府授予特权的）特权市
didn't	 [ˈdɪdnt]	abbr. 	did not 没有
order	 [ˈɔ:də(r)]	n. 	命令；秩序；规则，制度；次序
		vt. 	命令；订购；整理
		vi. 	下订单
away	 [əˈweɪ]	adv. 	离开，远离；在远处；消失
		adj. 	不在的；遥远的；客场比赛
called	 [kɔ:ld]	v. 	叫( call的过去式和过去分词 )；通电话；认为；估计
want	 [wɒnt]	v. 	想要；希望；打算；需要…在场
		n. 	需要的东西；缺少；贫穷
eyes	 ['aɪz]	n. 	眼睛( eye的名词复数 )；视力；眼状物；风纪扣扣眼
something	 [ˈsʌmθɪŋ]	pron. 	某物，某事；重要的事物[人]，有一定意义的事物
		n. 	（表示不确切的描述或数量）大致，左右
		adv. 	非常；有点；大约
unite	 [juˈnaɪt]	vt. 	（使）联合，合并，统一；并有，兼备；混合，化合
		vi. 	（为某事）联合，联手，团结
going	 [ˈgəʊɪŋ]	n. 	出行，离去；出发；行为；工作情况
		adj. 	活着的，现在的；进行中的，营业中的；现行的；流行中的
		v. 	进行(go的现在分词)
face	 [feɪs]	n. 	面容；表面；脸；方面
		vt.& vi. 	面对；面向…；正视；承认
		vt. 	（感到不能）对付；（明知不好办而）交谈；必须对付（某情况）；面临…
far	 [fɑ:(r)]	adv. 	久远地；（问到或谈及距离时说）有多远；到很远距离；到很大程度
		adj. 	远的；遥远的；（某方向的）最远的；远端的
		n. 	远方
asked	 [æskt]	v. 	问( ask的过去式和过去分词 )；询问；要求；请求
interest	 [ˈɪntrəst]	n. 	兴趣，爱好；利害关系，利益；利息；趣味，感兴趣的事
		vt. 	使产生兴趣；使参与，使加入；引起…的意愿；使产生关系
later	 [ˈleɪtə(r)]	adv. 	较晚地；以后，过后；后来；随后
		adj. 	后来的；以后的；接近末期的；晚年的
show	 [ʃəʊ]	vt.& vi. 	给…看；表现出；显露出；上演
		vt. 	说明；指示；表明；演示
		n. 	展览；显示；外观；表演
		vi. 	被人看见，显现，显而易见
knew	 [nju:]	v. 	知道（ know的过去式 ）；了解
though	 [ðəʊ]	conj. 	虽然，尽管；即使；纵然
		adv. 	可是，但是；不过；然而；话虽这样说
		prep. 	但
less	 [les]	adj. 	较少的（little的比较级）；较小的；较次的，较劣的；较不重要的
		adv. 	较少地，较小地
		prep. 	减去；少掉；不足
		n. 	较少，较小
night	 [naɪt]	n. 	夜；晚上；（举行盛事的）夜晚
