upon	 [əˈpɒn]	prep. 	在…上面；当…时候
need	 [ni:d]	vt. 	需要；必须
		aux. 	必须；不得不
		n. 	需要；需要的东西；责任；贫穷
		vi. 	（表示应该或不得不做）有必要
system	 [ˈsɪstəm]	n. 	体系，系统；制度；身体；方法
set	 [set]	vt. 	放置，安置；使处于某种状况；设置；摆放餐具
		vi. 	落山；出发；凝结
		n. 	一套，一副；集合；布景；电视机
		adj. 	固定的；位于…的；顽固的；安排好的
every	 [ˈevri]	det. 	每个；每；所有可能的；充足的
war	 [wɔ:(r)]	n. 	战争；战争期间；斗争；论战
		vi. 	进行战斗，作战；同…处于交战状态
put	 [pʊt]	vt. 	放；表达；给予（重视、信任、价值等）；使处于（某种状态）
		vt.& vi. 	使感觉到；使受到…的影响
		vi. 	说；猛推；将…送往；使与…连接
		n. 	[方]笨蛋，怪人；对策
		adj. 	固定的；不动的
form	 [fɔ:m]	n. 	形状，形式；外形；方式；表格
		vt. 	形成；构成；组织；塑造
		vi. 	形成，产生；排队，整队
water	 [ˈwɔ:tə(r)]	n. 	水；雨水；海水；海域
		v. 	给…浇水；供以水；加水稀释；流泪
took	 [tʊk]	v. 	拿( take的过去式 )；接受；学习；取得
program	 [ˈprəʊgræm]	n. 	程序；节目，节目单；计划，安排
		v. 	[计]给…编写程序；为…制定计划；设计安排活动；编排
present	 [ˈpreznt]	adj. 	现在的；目前的；出席的；[语法学]现在时的
		n. 	现在；礼物；瞄准
		vt. 	介绍；出现；提出；赠送
		vi. 	举枪瞄准
government	 [ˈgʌvənmənt]	n. 	政府；政体；治理的形式；管辖，治理
thing	 [θɪŋ]	n. 	事件，形势；东西，事物；家伙；事业
told	 [təʊld]	v. 	表明( tell的过去式和过去分词 )；讲；知道；讲述
possible	 [ˈpɒsəbl]	adj. 	可能的；可接受的；合理的，可以允许的；不坏的
		n. 	可能性，潜在性；可能的人物，可能有的事；最高分
group	 [gru:p]	n. 	组，团体；群，批；（雕塑等的）群像；（英美的）空军大队
		vt.& vi. 	使成群，集合
		vt. 	分类，归类
large	 [lɑ:dʒ]	adv. 	大大地；夸大地；详细地；顺风地
		adj. 	大的；大规模的；大型号的；广泛的
		v. 	玩个痛快；（尤指跳舞和饮酒）作乐
until	 [ənˈtɪl]	prep. 	到…为止；在…以前
		conj. 	到…为止，在…以前；直到…才
always	 [ˈɔ:lweɪz]	adv. 	总是，老是；永远，始终；常常；不断地
