again	 [əˈgen]	adv. 	再一次；再说；此外；不过
Mrs	 ['mɪsɪz]	n. 	太太；夫人；置于地方、运动、职业等名称之前，用来称呼公认是这事物的代表的已婚妇女
around	 [əˈraʊnd]	adv. 	大约；旋转；到处，四处；在周围
		prep. 	围绕；在附近；前后，左右；在…周围
thought	 [θɔ:t]	n. 	思想；想法；关心；思索
		v. 	想( think的过去式和过去分词)；思索；以为；认为
went	 [went]	v. 	进行( go的过去式 )；去；进展
without	 [wɪˈðaʊt]	adv. 	在外部；户外；缺少；没有或不显示某事物
		prep. 	没有，缺乏；在外面
		conj. 	除非，如果不
however	 [haʊˈevə(r)]	adv. 	不管到什么程度；无论如何；然而；可是
		conj. 	不管怎样
govern	 [ˈgʌvn]	vt. 	统治；管理；治理；支配（词或短语的形式或用法）
		vi. 	控制，支配；操纵
don't	 [dəʊnt]	n. 	不要，禁忌；莫；别；甭
does	 [dʌz]	conj. 	做，有用，工作
		v. 	做( do的第三人称单数 )；干；学习；研究
		n. 	雌鹿（或雌兔、雌羚羊等）( doe的名词复数 )
got	 [gɒt]	v. 	得到(get的过去式和过去分词)；抓住；说服；受到（惩罚等）
public	 [ˈpʌblɪk]	adj. 	公众的，公共的；公开的；政府的；人人知道的，知名的
		n. 	大众；社会；公共场所；（文学家等的）爱读者
United	 [juˈnaɪtɪd]	adj. 	统一的；联合的；团结一致的；[植]连生的
		v. 	“unite”的过去式和过去分词；团结；（为某事）联合，联手，团结
point	 [pɔɪnt]	n. 	点；要点；得分；标点
		vt. 	（意思上）指向；削尖；加标点于；指路
		vi. 	表明；指向
end	 [end]	n. 	结果；端；终止；最后部分
		vt.& vi. 	结束，终止
become	 [bɪˈkʌm]	vi. 	变为，成为；变得；变成
		vt. 	适合，适宜；相称，相当；变成；发生
head	 [hed]	n. 	上端；头脑；头部；首脑，首长
		vt. 	用头顶；前进；作为…的首领；站在…的前头
		vi. 	朝…行进；出发；向…方向移动；船驶往
		adj. 	头的；在前头的；首要的；在顶端的
once	 [wʌns]	adv. 	一次，一趟；一倍；曾经；一旦
		conj. 	一旦…就…；一经
		n. 	一次，一回
course	 [kɔ:s]	n. 	课程；航线；行动方向；一道菜
		vt. 	快速地流动；奔流；跑过；追逐
		vi. 	沿…（方向）前进；指引航线；快跑；迅速移动
fact	 [fækt]	n. 	事实，实情；实际；真相，证据；犯罪行为
