off	 [ɒf]	prep. 	从…落下；离开；从…去掉；下班
		adv. 	离开；距，离；被取消；下班
		adj. 	不新鲜的；不能接受；不礼貌
		n. 	起跑
		v. 	杀死
find	 [faɪnd]	v. 	发现；找到；查明；发觉
		n. 	发现物；被发现的人
states		n. 	国家( state的名词复数 )；州；[the states][口语]美国；心态
		v. 	规定( state的第三人称单数 )；陈述；确定；[法律]详述（案情等）
since	 [sɪns]	prep. 	从…以来；自从…之后；自从
		adv. 	以后，此后；后来；（距今几年）以前；（从那时候起几年）以前
		conj. 	自从…以来；自从…的时候起；既然；因为
used	 [ju:st]	adj. 	用过的；习惯于；二手的；旧的
		v. 	使用（ use的过去式和过去分词）；常常，经常
give	 [gɪv]	vt.& vi. 	给予；赠送；作出
		vt. 	供给；产生；举办；（为购买某物或做某事而）支付
		vi. 	（物体）塌下；让步
		n. 	伸展性，弹性
against	 [əˈgenst]	prep. 	反对；对…不利；紧靠；以防
three	 [θri:]	num. 	三；三个；第三（章，页等）
		n. 	三岁；三个人[东西]；三，三个
		adj. 	三的；三个的
himself	 [hɪmˈself]	pron. 	（反身代词）他自己；（用以加强语气）他亲自，他本人
look	 [lʊk]	vt.& vi. 	看，瞧
		vi. 	注意；面向；寻找；看起来好像
		n. 	看；（尤指吸引人的）相貌；眼神；样子
		int. 	（插话或唤起注意）喂，听我说
few	 [fju:]	adj. 	很少的；很少；（与复数名词和复数动词连用）有些；几乎没有的
		pron. 	很少；有些（人、事物、地方）；（与复数动词连用）少数人；不和…一般多
		n. 	很少数
general	 [ˈdʒenrəl]	adj. 	大致的；综合的；总的，全体的；普遍的
		n. 	上将；一般；一般原则；常规
hand	 [hænd]	n. 	手；协助，帮助；（工具等的）把，柄；掌管
		vt. 	传递，交给；搀扶；支持
school	 [sku:l]	n. 	学校，学院；学业；学派；学科
		vt. 	训练，锻炼；教育，教导；约束；给…上学
part	 [pɑ:t]	n. 	部分；零件；参加；地区
		vt. 	使分裂；拆移；使分开
		vi. 	分开；分离；分岔
		adv. 	不完全地，部分地
		adj. 	不完全的，部分的
small	 [smɔ:l]	adj. 	小的；难为情的；低级的，卑劣的；细微的，微弱的
		adv. 	小小地；卑鄙地
		n. 	细小部分，腰部；琐碎东西；身份低的人；矮小的人
American	 [əˈmerɪkən]	n. 	美国人，美洲人；美国英语
		adj. 	美国的，美洲的；地道美国式的
home	 [həʊm]	n. 	家；家庭；家庭生活；终点
		adj. 	家庭的；家用的；本地的；本部的
		adv. 	在家；在家乡；深深地；深入地
		vi. 	回家；有家；朝向；自动导航
		vt. 	把…送回家；送…回家；给…提供住处；使有安身之处
during	 [ˈdjʊərɪŋ]	prep. 	在…的时候；在…期间，当…之时；其间
number	 [ˈnʌmbə(r)]	n. 	数字；数量；号码；编号
		v. 	标号；总计；把…算作
