because	 [bɪˈkɒz]	conj. 	因为
come	 [kʌm]	vi. 	来；开始；出现；发生
		vt. 	做；装扮…的样子；将满（…岁）
		int. 	嗨！
people	 [ˈpi:pl]	n. 	人，人类；居民；人民；种族
		vt. 	居住于，布满；使住满人，在…殖民；把动物放养在
just	 [dʒʌst]	adv. 	刚才；仅仅，只是；正好；刚要
		adj. 	公正的，合理的；恰当的；合法的；正确的
say	 [seɪ]	vi. 	说， 讲；表明，宣称；假设；约莫
		vt. 	表明；念；说明；比方说
		n. 	发言权；说话；要说的话；发言权
each	 [i:tʃ]	adj. 	每；各自的
		pron. 	每个；各自
those	 [ðəʊz]	adj.& pron. 	that的复数
		adj. 	那些的，那
		n. 	那，那个( that的名词复数)；（指较远的人或事物）那；（指已提到过或已知的人或事物）那；（特指）那
take	 [teɪk]	vt. 	拿，取；采取；接受（礼物等）；耗费（时间等）
		vi. 	拿；获得
		n. 	镜头；看法；收入额；场景
day	 [deɪ]	n. 	一天；白天；时期；节日
		adj. 	日间的；逐日的
		adv. 	每天；经常在白天地
good	 [gʊd]	adj. 	好的；优秀的；有益的；漂亮的，健全的
		n. 	好处，利益；善良；善行；好人
		adv. 	同well
how	 [haʊ]	adv. 	怎样；健康状况如何；到何种地步；以任何方式
		n. 	方法；方式
long	 [lɒŋ]	adj. 	长的；长时间的；冗长的，过长的；长音的
		adv. 	长久地；始终；遥远地
		n. 	长时间，长时期；[语]长音节；（服装的）长尺寸；长裤
		vi. 	渴望，极想
Mr	 ['mɪstə(r)]	abbr. 	Mister 先生；Master 少爷；Mother 母亲；molecular radius 分子半径
own	 [əʊn]	n. 	自己的事物；自己人
		vt. 	拥有；承认
		vi. 	承认
		adj. 	自己的；特有的
too	 [tu:]	adv. 	也；太；很；非常
little	 [ˈlɪtl]	adj. 	小的；琐碎的；娇小的；幼小的
		adv. 	不多，略微；少许，一点；短时间地
		n. 	（表示否定）微少；没有多少；短时间
		det. 	（数量上）微少的，少到几乎没有的；(a little)少量的，一些
use	 [ju:s]	n. 	使用；使用权；功能
		v. 	使用；运用；消耗；服用
US	 [ˌju: ˈes]	abbr. 	United States 美国
very	 [ˈveri]	adj. 	很，非常；恰好是，正是；十足的；特有的
		adv. 	很，非常；充分，完全
great	 [greɪt]	adj. 	伟大的，杰出的；优异的，显著的；很多的；重大的
		adv. 	[口语]很好地；令人满意地，成功地，顺利地；得意地
		n. 	大人物们；伟大人物；重要人物，大师；名家
