there	 [ðeə(r)]	adv. 	在那里；那里；在那一点上
		pron. 	表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）
		int. 	（表示满足、烦恼）你瞧，好啦，得啦
use	 [ju:s]	n. 	使用；使用权；功能
		v. 	使用；运用；消耗；服用
an	 [ən]	art. 	一（在元音字母前代替不定代词a）；一任一某一；一个
each	 [i:tʃ]	adj. 	每；各自的
		pron. 	每个；各自
which	 [wɪtʃ]	pron. 	哪一个；哪一些；哪个；那，指前面提到的事物
		adj. 	哪一个；哪一些
she	 [ʃi]	pron. 	她，它
do	 [du]	aux. 	构成疑问句和否定句；代替动词；用于加强语气
		vt. 	做；干；进行；从事
		vi. 	表现；进展；引起；行过
		n. 	社交聚会；社交活动；宴会
how	 [haʊ]	adv. 	怎样；健康状况如何；到何种地步；以任何方式
		n. 	方法；方式
their	 [ðeə(r)]	pron. 	他（她，它）们的；在提及性别不详的人时，用以代替 him 或 her
if	 [ɪf]	conj. 	如果，倘若；即使；〈口〉是否；假设
		n. 	条件，设想
will	 [wɪl]	n. 	愿意；意志（力）；[法]遗嘱
		vt. 	决心要；将（财产等）遗赠某人；用意志力驱使（某事发生）
		vi. 	愿意， 希望， 想要
		aux. 	将，将会；会，要
up	 [ʌp]	adv. 	在上面，在高处；起床，起来；向上；由低到高
		adj. 	向上的；上升的；竖立的，垂直的；举起的
		vt.& vi. 	增加；加速；提高；举起，拿起
		prep. 	在…的上端；向高处；沿…而去；向…上游
		n. 	上升，升高；兴旺，繁荣；上坡；（价格等）上涨
other	 [ˈʌðə(r)]	adj. 	别的；其他的；（两个中的）另一个；其余的
		pron. 	其他的；（指两个人或事物中的第二个）那个；（指一组中其余的人或事物）其余的；（指与说话人所在位置等相反的方向或地点）另一边
		n. 	[the other]对立面；对立的事物
about	 [əˈbaʊt]	prep. 	关于；大约；在…周围
		adv. 	大约；在附近；在四周；几乎
		adj. 	在附近的；四处走动的；在起作用的；在流行中的
out	 [aʊt]	adv. 	出局；在外，在外部；完全，彻底；出版
		prep. 	（表示来源）从；（从…里）出来；（表示不在原状态）脱离；离去
		vt. 	使熄灭；揭露；驱逐
		adj. 	外面的；出局的；下台的；外围的
		n. 	不流行；出局
many	 [ˈmeni]	adj. 	许多，多的
		pron. 	（与复数动词连用）大多数人
then	 [ðen]	adv. 	那时；然后；那么；话说回来
		adj. 	当时的；那时的
them	 [ðəm]	pron. 	他们；她们；它们
these	 [ði:z]	adj. 	这些的
		pron. 	这些
so	 [səʊ]	adv. 	这样；很；（表示程度）这么；同样
		conj. 	（表示因果关系）因此；（表示目的）为了；（引出下文）；（认为某事无关紧要，尤用于反驳他人的指责时）（口语）
		pron. 	如此；这样；大约；左右
		int. 	[表示同意、赞成等] 好啦，就这样吧！停下！（停住）别动！；[表示惊讶、冷淡等] 哦；真的吗
		adj. 	真的；事实如此的；如此的；整齐的
