the	 [ðə]	art. 	指已提到的人（物）；指说话人与听者已知的人（物）；用于独一无二的事物前；与形容词最高级和序数词连用
of	 [əv]	prep. 	关于；属于…的；由…制成
		aux. 	助动词  [非标准用语、方言] =have [主用于虚拟语气]
and	 [ənd]	conj. 	和，与；而且；于是，然后；因此
a	 [ə]	art. 	一（个）；每一（个）；任一（个）
to	 [tə]	prep. 	向，朝着；到；关于；属于
		adv. 	朝一个方向的；到某种状态；关闭
in	 [ɪn]	prep. 	采用（某种方式）；穿着，带着；（表示位置）在…里面，（表示领域，范围）在…以内；（表示品质、能力等）在…之中
		adv. 	在家；进入，到达；流行；当选
		adj. 	在内的，朝内的；在位的，执政的；[口语]流行的，时髦的；（车等）到站的
		n. 	执政党，掌权者；知情者；入口，门路；（板球或棒球）攻球的一方
is	 [ɪz]	vt.& vi. 	是（be的三单形式
		n. 	存在
you	 [ju]	pron. 	你；你们，您们；各位；大家
that	 [ðæt]	det. 	那个，那
		pron. 	那个，那
		conj. 	多么；如此…以至；用于某些动词、形容词和名词后，引出各种从句
		adv. 	不那么；那样
it	 [ɪt]	pron. 	它；他；正好是所需的；事实[情况]
		n. 	傻瓜，笨蛋；绝妙的人；理想的东西；登峰造极
he	 [hi]	pron. 	他，它；一个人
		n. 	雄性动物
was	 [wɒz]	v. 	用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质（ be的过去式 ）；在，存在；不受干扰
for	 [fə(r)]	prep. 	为，为了；倾向于；关于；当作
		conj. 	因为，由于
on	 [ɒn]	prep. 	（表示方向）向；（表示对象）对；（表示位置）在…上；（表示时间）在…之时
		adv. 	（放，穿，连接）上；向前，（继续）下去
		adj. 	活动着的情况，状态；使用着的；发生着的；计划中的
are	 [ɑ:(r)]	vi. 	（用于第二人称单复数现在时，第一、三人称复数现在时）是
		n. 	公亩（等于100平方米）
as	 [əz]	adv. 	同样地，一样地；例如
		prep. 	作为，以…的身份；如同
		conj. 	像，像…一样；由于；同时，当…时；尽管
		n. 	阿斯（古罗马重量单位，约373克）
with	 [wɪð]	prep. 	和，跟；随着；关于；和…一致
his	 [hɪz]	pron. 	(he的所有格)他的；(he的物主代词)他的东西
		det. 	属于他的，用于名词前；自己的；指某人的；上帝的
they	 [ðeɪ]	pron. 	他/她/它们；人们，大家；政府，当局；她们
I	 [aɪ]	pron. 	我；个人；利己主义者
		n. 	碘元素；英语字母表中第九个字母；罗马数字1
at	 [ət]	prep. 	（表示位置）在；在（某时间或时刻）；以，达； 向，朝
		n. 	阿特（老挝辅币单位，100 阿特 = 1 基普）
be	 [bi]	v. 	是；有，存在；做，成为；发生
		aux. 	用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质
this	 [ðɪs]	pron. 	这，这个；这事，这人；这时；下面所说的事
		adj. 	这，这个；刚过去的，即将到来的；今…，本…
		adv. 	这样地；就是这样；这么地
have	 [həv]	aux. 	用以构成完成式及完成式的不定式，表示已经…
		vt. 	有，具有；拿，取得；从事；必须，不得不
		n. 	〈口〉有产者，有钱人；富国；〈英俚〉欺骗，诈骗
from	 [frəm]	prep. 	（表示时间）从…；（表示原因）因为；（表示来源）来自…；（表示分离）与…分离[隔开]
or	 [ɔ:(r)]	conj. 	或，或者；还是；不然，否则；左右
		prep. 	在…之前，比…更早
		n. 	[纹章]黑金色、黑色
one	 [wʌn]	num. 	（数字）一；一个；（基数）一，第一
		n. 	一个人；一点钟；一体；独一
		pron. 	一个人；任何人；本人，人家；东西
		adj. 	某一个的；一体的；一方的
had	 [həd]	v. 	有（ have的过去式和过去分词 ）；（亲属关系中）接受；拿；买到
by	 [baɪ]	prep. 	在…旁边；表示方式；由于；经过
		adv. 	经过；表示保留或保存时用；短暂拜访
word	 [wɜ:d]	n. 	单词；话语；诺言；消息
		vt. 	措辞，用词；用言语表达
		vi. 	讲话
but	 [bət]	conj. 	但是；而是；除了；只因为
		prep. 	除…以外
		adv. 	只；不过；只是；另一方面
		n. 	借口；推辞；但是；反对
		pron. 	[关系代词，意义相当于 who…not, which…not]
		vt. 	对…说“但是”
not	 [nɒt]	adv. 	不；[用以表示否定、否认、拒绝、禁止等]不是；几乎不；未必，没有[用于否定后面的词或短语]
what	 [wɒt]	pron. 	（用以询问某人或某事物的词）什么，多少；…的事物
		adj. 	…的（事物或人）
		adv. 	（用于感叹句中）
		int. 	（用以表示不相信或惊奇）；（用以表示未听清楚对方说的话）
all	 [ɔ:l]	adj. 	全部的；一切的；各种的；极度的，尽量的
		pron. 	全部；一切；每个人，每件东西；全部情况
		adv. 	全部地；完全地；每个；非常
		n. 	全体；[常作A-]整体；[常与my, your, his, her等连用]（某人）所有的一切
were	 [wə(r)]	 	be的过去时复数和第二人称单数形式；有时代替 was,用于条件从句、动词 wish 之后等
we	 [wi]	pron. 	我们，咱们；笔者，本人；朕；人们
when	 [wen]	adv. 	什么时候；（用于时间的表达方式之后）在那时；其时；当时
		conj. 	在…时；既然；如果
		pron. 	什么时候；那时
		n. 	时间，时候；日期；场合
your	 [jɔ:(r)]	pron. 	你的，你们的；尊；玉；乃
can	 [kæn]	aux. 	能；能够；可以；可能
		vt. 	将…装入密封罐中保存
		n. 	罐头；（用金属或塑料制作的）容器；（马口铁或其他金属制作的）食品罐头
said	 [sed]	adj. 	[律]上述的；少说为妙；（做）某事有/没有很多优点（或好处）：某事物有/没有多少可说的；说到底
		v. 	说，讲( say的过去式和过去分词 )；表明；念；说明
there	 [ðeə(r)]	adv. 	在那里；那里；在那一点上
		pron. 	表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）
		int. 	（表示满足、烦恼）你瞧，好啦，得啦
