base	 [beɪs]	n. 	基础；基地；根据；基数（如十进制的10 和二进制的2）
		vt. 	基于；把…建立在；把…放在或设在（基地）；把…置于底座（或基座）上
		adj. 	卑鄙的；低级的；贱的，劣的；庶生的
check	 [tʃek]	vt. 	检查，核对；制止，抑制；在…上打勾
		vi. 	核实，查核；中止；打勾；[象棋]将一军
		n. 	支票；制止，抑制；检验，核对
cities		n. 	城市( city的名词复数 )；全市居民；（由国王或女王授予特权，通常有大教堂的）特许市；（由政府授予特权的）特权市
elements	 ['elɪmənts]	n. 	原理，基础；要素（旧时认为土、空气、火和水是构成一切物质的四大要素）( element的名词复数 )；（化学）元素；基础；成分
leaders	 [li:dəs]	n. 	领袖( leader的名词复数 )；（管弦乐队的）首席小提琴手；最佳的人（或物）；（在赛跑、商业等活动中）处于领先地位的人（或物）
discussion	 [dɪˈskʌʃn]	n. 	讨论，谈论；详述，论述
limited	 [ˈlɪmɪtɪd]	adj. 	有限的；（君主权力）受宪法限制的；〈美〉乘客名额有限制的；（智力，能力等）有限的
		n. 	高级快车；直达的火车或汽车
sit	 [sɪt]	vt.& vi. 	（使）坐
		vi. 	坐落；处在；（在…中）任职；（议会、委员会、法庭等）开会
		vt. 	使就座
Thomas	 ['tɒməs]	 	托马斯（姓氏；男子名）
agreement	 [əˈgri:mənt]	n. 	协定，协议；同意，一致；合同书；（词之间性、数、人称方面与…）一致
gas	 [gæs]	n. 	气体；[矿业] 瓦斯；汽油；毒气
		vt. 	加油；毒（死）
		vi. 	加油；放出气体；空谈
		int. 	该死！（令人气愤的人应即被送毒气室处死）
factors		n. 	因素( factor的名词复数 )；因子；（增或减的）数量；系数
marriage	 [ˈmærɪdʒ]	n. 	结婚；婚姻生活；密切结合；合并
easily	 [ˈi:zəli]	adv. 	容易地；很可能；迅速地；频繁地
closed	 [kləʊzd]	adj. 	关闭着的，封闭着的；密闭着的，保密的；准备好了的，定了契约的
		v. 	“close”的过去式和过去分词
excite	 [ɪkˈsaɪt]	vt. 	使兴奋；激发；刺激；使紧张不安
accept	 [əkˈsept]	vi. 	承认；同意；承兑
		vt. 	接受；承认；承担；承兑
applied	 [əˈplaɪd]	adj. 	（尤指某种科学）应用的，实用的
		v. 	应用( apply的过去式和过去分词 )；[apply oneself]使（自己）致力于；[apply oneself]使从事于；使接触
allow	 [əˈlaʊ]	vt. 	允许；承认；给予；准许（做某事）
		vi. 	容许；考虑
bit	 [bɪt]	n. 	一点，一块；少量，少许；一会儿，一转眼；[计] 比特（二进位制信息单位）
		adj. 	很小的，微不足道的
		adv. 	[口语]相当，有点儿，或多或少，多少[a bit to的省略]
		vt. 	给（马）上嚼子；上衔铁；抑制；制约
		v. 	咬，叮( bite的过去式)；刺痛；咬饵；有咬（或叮）的习性
married	 [ˈmærid]	adj. 	已婚的；与…结为夫妻的；婚姻的
		n. 	已婚的年轻人
		v. 	（使）结婚( marry的过去式)；娶；嫁；紧密结合的
oil	 [ɔɪl]	n. 	油；石油；油画；燃油
		vt. 	给…加油
		vi. 	化成油
Rhode		 	[人名] 罗德
shape	 [ʃeɪp]	n. 	形状；模型；状态；身材
		vt. 	塑造；使符合；体现
		vi. 	使成形；形成
