planned	 [plænd]	adj. 	计划了的，根据计划的
		v. 	计划，打算，设计( plan的过去式和过去分词 )
choose	 [tʃu:z]	vt. 	挑选；认为…比其它更可取；决定或选定
		vi. 	选择；进行挑选
confuse	 [kənˈfju:z]	vt. 	使困窘；使混乱；使困惑；使更难于理解
		vi. 	使糊涂
Virginia	 [və(:)ˈdʒinjə]	n. 	维吉尼亚
killed	 [kɪld]	adj. 	被杀死的，断开的
		v. 	杀死( kill的过去式和过去分词 )；使停止[结束，失败]；破坏，减弱，抵消；使痛苦，使受折磨
frighten	 [ˈfraɪtn]	vt. 	使惊恐，使恐慌；吓走，赶走
		vi. 	害怕，惊恐
stayed		v. 	停留，停止( stay的过去式和过去分词 )；继续处于某种状态
worry	 [ˈwʌri]	n. 	烦恼，忧虑；担心；撕咬
		vi. 	担心，焦虑；为…发愁；撕咬
		vt. 	使烦恼；烦扰；撕咬
surprise	 [səˈpraɪz]	vt. 	使惊奇；突袭；意外发现
		n. 	惊喜，惊奇；意外的事
aside	 [əˈsaɪd]	adv. 	在旁边，在一边，到旁边，到一边；撇开（…暂且不谈），留存；[戏]独（白），旁（白）；（用于名词后）除…以外
		n. 	[戏]旁白，独白；低声说的话，离题话
		prep. 	在…旁边
photograph	 [ˈfəʊtəgrɑ:f]	n. 	照片，相片
		vt.& vi. 	为…拍照；拍照，摄影；成为拍照对象，在照片上显得
removed	 [rɪ'mu:vd]	adj. 	离开的；远离…的；与…无关的；隔代的
		v. 	开除；去除；脱去（衣服等）
turning	 [ˈtɜ:nɪŋ]	n. 	旋转；转向；转弯处；车工工艺
		v. 	转动；扭转；（使）变成；“turn”的现在分词
Jr		abbr. 	Asst Pur Junior Assistant Purser 下级助教主管（代号）；Junior 少年
pull	 [pʊl]	vt.& vi. 	拉；扯；拉过来；划（船）
		vt. 	赢得；吸引异性；取消；（耍手腕）得逞
		n. 	拖；爬；影响力
personnel	 [ˌpɜ:səˈnel]	n. 	全体员工；（与复数动词连用）人员，员工；人事部门
agency	 [ˈeɪdʒənsi]	n. 	代理；机构；力量
pointed	 [ˈpɔɪntɪd]	adj. 	尖的，尖锐的；严厉的，直截了当的；突出的；显然的
		v. 	“point”的过去式和过去分词
speech	 [spi:tʃ]	n. 	演说，演讲，发言；说话，谈话，说话能力或方式；（乐器的）音，音色；方言，民族语言
listen	 [ˈlɪsn]	vi. 	倾听；留心听；听信；（让对方注意）听着
		n. 	听，倾听
November	 [nəʊˈvembə(r)]	n. 	十一月；通讯中用以代替字母 n 的词
sample	 [ˈsɑ:mpl]	n. 	样品，华样；标本，榜样；（化验的）取样；[信]信号瞬时值
		vt. 	取…的样品，尤指用样品来检验；品尝；抽样调查
		adj. 	作为代表或范例的
Louis	 [ˈlu(:)i, ˈlu(:)is]	n. 	路易斯（男子名）
motor	 [ˈməʊtə(r)]	n. 	马达，发动机，[火箭]助推器；原动者，原动力；汽车；[解]运动肌，运动神经
		vi. 	开[乘]汽车
		vt. 	用汽车运送
		adj. 	有引擎的；由发动机推动的；机动车的；肌肉运动的
selected	 [sɪ'lektɪd]	adj. 	经由选择的，挑选的
		v. 	选择，挑选( select的过去式和过去分词 )
Berlin	 [bɜ:ˈlɪn]	n. 	柏林（前民主德国首都）；（亦作B-）柏林细软毛线；（b-）四轮双座篷盖马车；附有马车夫站台
CLAIMS		abbr. 	Class Codes Assigned Index Method Search 分类编码指定的索引方法搜索；[计]= CLass codes, Assinged, Index, Method, Search,分类码、赋值、索引、方法、检索
spot	 [spɒt]	n. 	地点，场所；斑点，污点；[股票]现货；职位，职务
		v. 	弄上污渍，弄上斑点；污辱，玷污；认出，发现；散步
		adj. 	现场的；现货的；插播的
		abbr. 	satellite positioning and tracking 卫星定位和跟踪
strike	 [straɪk]	vt. 	罢（工、课等）；撞；攻击；来到
		vi. 	罢工；打击；朝某一方向前进
		n. 	攻击；罢工[课，市]；发现
increasing	 [ɪn'kri:sɪŋ]	v. 	增加，增大，增多( increase的现在分词 )；增强，增进；[缝纫]放（针）；增强
exercise	 [ˈeksəsaɪz]	n. 	练习；运动，训练；运用；典礼
		vi. 	锻炼，训练，练习
		vt. 	锻炼（身体某部位）；使焦虑，使忧虑；实行，发挥（作用）；运用
handle	 [ˈhændl]	n. 	（织物、毛皮等的）手感；手柄；举动；柄状物
		vi. 	操作，操控；容易搬运
		vt. 	用双手触摸、举起或握住；用手操作，操纵；处理或负责，管理；〈美〉买卖，经营
hole	 [həʊl]	n. 	洞，孔；洞穴，穴；缺陷；绝境
		vt.& vi. 	（在…上）打洞或穿孔
		vi. 	凿洞；（高尔夫球等）进洞
Leader		 	[人名] [英格兰人姓氏] 利德职业名称，赶马车运货者，来源于古英语，含义是“牵领”(to lead)+er；[人名] [英格兰人姓氏] 利德职业名称，铅匠，来源于古英语，含义是“铅”(lead)+er；[地名] [加拿大、美国] 利德
baby	 [ˈbeɪbi]	n. 	婴儿；婴孩；幼崽；宝贝儿
		vt. 	把…当作婴孩看待，娇养；纵容
		adj. 	小孩似的；孩子的；小型的
ride	 [raɪd]	vt.& vi. 	乘，骑，驾
		n. 	（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
		vt. 	（骑马、自行车等）穿越；搭乘；飘浮
avoid	 [əˈvɔɪd]	vt. 	避开，避免，预防；[法]使无效，撤销，废止
cross	 [krɒs]	n. 	十字架；十字形饰物；杂交品种；痛苦
		vi. 	交错而行；横渡；越境
		vt. 	杂交；横跨，穿越；划掉；使相交
		adj. 	坏脾气的， 易怒的；相反的，反向的
twice	 [twaɪs]	adv. 	两次；两倍；两遍
commercial	 [kəˈmɜ:ʃl]	adj. 	商业的；贸易的；营利的；靠广告收入的
		n. 	（电台或电视播放的）广告
failed	 [feɪld]	adj. 	失败了的，不成功的
		v. 	在…中失败( fail的过去式和过去分词 )；衰退；衰弱；破产
prompt	 [prɒmpt]	adj. 	敏捷的；迅速的；立刻的；准时的
		v. 	促使；导致；鼓励；提示
		n. 	激励；提示符；提词；提示
		adv. 	准时地
fat	 [fæt]	adj. 	肥的；胖的；厚的；大量的
		n. 	脂肪；肥肉；动植物油
		vt. 	养肥；在…中加入脂肪
		vi. 	长肥
fourth	 [fɔ:θ]	n. 	第四；月的第四日；四分之一；第四音级
		adj. 	第四的；四分之一的
		num. 	第四
visitor	 [ˈvɪzɪtə(r)]	n. 	访问者；参观者；游客；候鸟
interior	 [ɪnˈtɪəriə(r)]	n. 	内部；内地；内政；内心
		adj. 	内部的；内地的，国内的；内面的
Jewish	 [ˈdʒu:ɪʃ]	adj. 	犹太人的，犹太教徒的；犹太人作风的
wing	 [wɪŋ]	n. 	翅膀，翼；飞翔；派系，派别
		vi. 	飞行
		vt. 	为…装上翼；使或使能飞行；飞过
desk	 [desk]	n. 	书桌，办公桌；服务台；部门；（美）讲道台
		adj. 	书桌的，书桌上用的
faculty	 [ˈfæklti]	n. 	能力，才能；全体教职员；（大学的）专科，系；特权，特许
forget	 [fəˈget]	vt. 	忘记，忘却；忽略，疏忽；遗落；忘掉
		vi. 	忘记；忽视
operate	 [ˈɒpəreɪt]	vt.& vi. 	运转；操作；经营；管理
		vi. 	开刀；（对…）动手术；动手术；（在某地）采取军事行动
		vt. 	操作，控制，使运行
stair	 [steə(r)]	n. 	楼梯；（楼梯的）一级
besides	 [bɪˈsaɪdz]	adv. 	而且；此外；以及；更
		prep. 	（表示排斥）除…之外（还有）；在…之外（还有），…之余兼
relief	 [rɪˈli:f]	n. 	宽慰，安心；免除，减轻；救援物资；代班人
standards	 [s'tændədz]	n. 	标准( standard的名词复数 )；旗；准则；支柱
France	 [frɑ:ns]	n. 	[地名]法国，法兰西；[姓氏]法郎士；[人名] 弗朗斯
perfect	 [ˈpɜ:fɪkt]	adj. 	完美的；正确的；优秀的；极好的
		n. 	[语]完成时
		v. 	使完善；使完备 ；使完美
pour	 [pɔ:(r)]	vt. 	涌出；倾，倒
		vi. 	涌流；泛滥，涌出；斟，倒
		n. 	倾泻
Nevertheless	 [ˌnevəðəˈles]	adv. 	然而；尽管如此；不过；仍然
		conj. 	然而；尽管如此
brief	 [bri:f]	adj. 	短暂的；（衣着）短的；简洁的；简明的
		vt. 	向…介绍基本情况；（尤指事前）向…介绍基本情况；向…下达简令；在…事先向…做简要指点
		n. 	概要；短文；简短声明；（争议一方的情况或论点）要点摘录
Jones		n. 	琼斯
kick	 [kɪk]	vt.& vi. 	踢
		n. 	（毒品或酒精的）效力；精力；极度兴奋
		vi. 	踢蹬，踢（腿）
		vt. 	（因干了蠢事、失去良机等）对（自己）生气；体育运动；如足球和橄榄球踢球得分；射门得分
attend	 [əˈtend]	vi. 	出席；致力于，献身于；侍候，照顾；关注
		vt. 	出席，参加；[常用被动语态]（作为结果、情况）伴随；照顾；陪伴
plus	 [plʌs]	prep. 	（表示运算）加；（表示包容）外加；[口语]和；（表示数目）在零（度）以上
		n. 	加号；[数学]正量；好处；附加物
		adj. 	加的；正的；附加的；比所示数量多的
solution	 [səˈlu:ʃn]	n. 	解决；溶解；溶液；答案
wage	 [weɪdʒ]	n. 	工资；报应
		vt.& vi. 	实行，进行，作（战等）；〈方〉雇佣；〈古〉打赌，抵押，担保
individuals	 [ɪndɪ'vɪdʒʊəlz]	n. 	[口语]人（常指有趣或有点特别的人）( individual的名词复数 )；与众不同的人；某种类型的人
powers		n. 	幂( power的名词复数 )；能力；权力；功力
minister	 [ˈmɪnɪstə(r)]	n. 	大臣；部长；公使；牧师
		vi. 	辅助，服侍；执行牧师职务
taste	 [teɪst]	n. 	体验；滋味；味觉；风味
		vt.& vi. 	尝，品尝
		vt. 	吃；喝；浅尝
		vi. 	尝味；略进（饮食）；（少量地）吃；有某种味道
discovered		v. 	发现( discover的过去式和过去分词 )；碰见；撞见；了解到
pulled	 ['pʊld]	v. 	拉( pull的过去式和过去分词 )；扯；拉过来；划（船）
hire	 [ˈhaɪə(r)]	vt. 	聘用；录用；雇用；租用
		vi. 	受雇；得到工作
		n. 	租金；酬金，工钱；[非正式用语] 被雇佣的人；销售部的两个新雇员
writer	 [ˈraɪtə(r)]	n. 	作家；作者；书写者；打字机
verb	 [vɜ:b]	n. 	动词；动词结构
preach	 [pri:tʃ]	vt.& vi. 	布道，讲道；宣扬；说教；讲（道）
		n. 	〈口〉讲道，说教
friendly	 [ˈfrendli]	adj. 	友好的，亲密的；有帮助的；互助的
		adv. 	友好地，朋友般地
observed	 [əb'zɜ:vd]	v. 	观察，研究( observe的过去式和过去分词 )；遵守；（尤指为科学目的的）观察；看到
fan	 [fæn]	n. 	扇子，风扇；迷，粉丝；扇形物；扬谷机
		vt. 	扇动；吹拂，扬去
		vi. 	成扇形
connect	 [kəˈnekt]	vt. 	连接，联结；使…有联系；为…接通电话；插入插座
		vi. 	连接；建立关系；[体]成功击中
Fig		 	[电影]菲格罗亚街
count	 [kaʊnt]	n. 	总数；数数；罪状；论点
		v. 	数数；计算总数；把…算入；重要
egg	 [eg]	n. 	鸡蛋，蛋；卵；家伙
		vt. 	煽动，怂恿；用蛋烹调；向人扔鸡蛋
items		n. 	物料项目 （任何一种自制或采购的零部件或组装件，如最终产品、部件、子部件、零件或原材料）；条( item的名词复数 )；一项；一则；一件商品（或物品）
mention	 [ˈmenʃn]	vt. 	提到，说起；提名表扬
		n. 	提及
Texas	 [ˈteksəs]	n. 	德克萨斯州（美国州名）
calculate	 [ˈkælkjuleɪt]	vt.& vi. 	计算；估计；打算，计划；旨在
		vt. 	预测，推测
platform	 [ˈplætfɔ:m]	n. 	台；站台；平台；纲领
		v. 	把…放在台上；为…设（平）台；（在台上）演讲
drag	 [dræg]	vt. 	拖拽；吃力地往前拉；拖地而行
		vi. 	沿地面拖动；落后；缓慢前进；打捞
		n. 	拖，拉；累赘；阻力
mere	 [mɪə(r)]	adj. 	仅仅，只不过；小的，轻微的；纯粹的
		n. 	小湖，池塘；〈英〉边境（线）
tomorrow	 [təˈmɒrəʊ]	adv. 	在明天，在明日
		n. 	明天；最近，不远的将来
faces	 ['feɪsɪz]	n. 	面容( face的名词复数 )；表面；脸；方面
		v. 	面对( face的第三人称单数 )；面向…；正视；承认
pure	 [pjʊə(r)]	adj. 	纯的；单纯的；纯真的；干净的
		prep. 	清晰的，纯正的
fighting	 ['faɪtɪŋ]	adj. 	战斗的；好战的；作战用的；适于打斗的
		n. 	战斗；斗志；宣战言论；微小但值得一搏的机会
		v. 	战斗( fight的现在分词 )；斗争；打架；吵架
resources	 [rɪ'sɔ:sɪz]	n. 	勇气；才智；谋略；有助于实现目标的东西；资源( resource的名词复数 )；[复数]物力；办法；来源
increases		n. 	增加量( increase的名词复数 )
		v. 	增加，增大，增多( increase的第三人称单数 )；增强，增进；[缝纫]放（针）；增强
assumed	 [əˈsju:md]	adj. 	假装的；假冒的；假定的；被承担的
		v. 	取得（权力）( assume的过去式和过去分词 )；假设；假定；呈现
broke	 [brəʊk]	vt. 	打破(break的过去式和过去分词)；折断
		adj. 	破产的；缺乏资金的
coast	 [kəʊst]	n. 	海岸；滑坡
		vi. 	（汽车或自行车）（尤指不用动力向山坡下）滑行；（做事）不出力；不费力地取得成功；（不用多少动力）快速平稳地移动
		vt. 	沿海岸航行
strict	 [strɪkt]	adj. 	精确的；绝对的；严格的，严谨的；[植]笔直的
whom	 [hu:m]	pron. 	(who的宾格)谁
Russia	 ['rʌʃə]	n. 	(1917年以前的)俄罗斯帝国；现俄罗斯；俄罗斯皮革
qualify	 [ˈkwɒlɪfaɪ]	vt.& vi. 	（使）具有资格；有权；达标
