Wilson	 ['wɪlsn]	n. 	威尔逊(m.) chamber [核]威尔逊云室
careful	 [ˈkeəfl]	adj. 	仔细的，小心的；周到的；慎；心细
rail	 [reɪl]	n. 	围栏；轨道，钢轨；扶手；[动]秧鸡
		vi. 	责备；抱怨；责骂
		vt. 	将…围起来；铺铁轨；坐火车旅行；用围栏围
abroad	 [əˈbrɔ:d]	adv. 	到国外，在海外；广为流传地
		adj. 	往国外的
		n. 	海外，异国
yard	 [jɑ:d]	n. 	院子；码（等于3英尺或36英寸或0。9144米）；场地；帆桁
dot	 [dɒt]	n. 	点，小圆点
		vt. 	打点于；散布于；点缀；以小圆点标出
gold	 [gəʊld]	n. 	金，黄金；金色；金币；金饰品
		adj. 	金（制）的，含金的；金色的；金本位的
inquire	 [ɪn'kwaɪə(r)]	vt.& vi. 	打听，询问；查究
section	 [ˈsekʃn]	n. 	部分；节；部件；部门
		vi. 	切开；切断；做（动物或植物组织）切片；把（精神病患者）正式送入精神病院
		vt. 	把…切成片（或段）；作…的切片；把…作成截面；制作…的剖面图
avenue	 [ˈævənju:]	n. 	林荫路；大街；途径，手段；〈美〉（南北向）街道
decisive	 [dɪˈsaɪsɪv]	adj. 	决定性的；坚定的；果断的，决断的
governments	 ['gʌvənmənts]	n. 	政府( government的名词复数 )；治理的形式；政体
sheet	 [ʃi:t]	n. 	纸；被单；一张（通常指标准尺寸的纸）；一大片（覆盖物）；表格
		vt. 	用（床单等）包裹；用（床单等）掩盖；用缭绳调节（或固定）；给…铺床单
		vi. 	成片展开，成片流动
		adj. 	（金属材料）制成薄板（或薄片）的，扎制成片的，片状的
procedures	 [prə'si:dʒəz]	n. 	程序；手续；步骤；常规；程序( procedure的名词复数 )；手续；[计算机]过程；（为解决一个特殊问题而专门设计的）文字程序
vessel	 [ˈvesl]	n. 	容器；船，飞船；血管，管束；…的化身
pity	 [ˈpɪti]	n. 	怜悯；同情；可惜的事；憾事
		vt. 	对…表示怜悯；对…感到同情
prices		n. 	价格，价钱( price的名词复数 )；代价；行市
steam	 [sti:m]	n. 	蒸汽，雾；〈口〉精神，精力；轮船，乘轮船旅行
		vt.& vi. 	冒蒸汽；快速行走，疾行
		vi. 	动力；成蒸汽上升；汽动；[非正式]发怒
		vt. 	蒸煮
courses	 ['kɔ:sɪz]	n. 	课程，路线；前进( course的名词复数 )；进程；课程；方针
pin	 [pɪn]	n. 	钉；别针，扣针，饰针；大头针；没价值的东西
		vt. 	压住；（用钉等）钉住，钉住，别住，扣住；用障壁等)围住，关住（俚语）抓住；[军]牵制
		adj. 	针的；钉的；销的；大头针的
dependent	 [dɪˈpendənt]	adj. 	依靠的；依赖的；取决于…的；有瘾的
		n. 	受抚养人；受赡养者；依赖他人者；扈从，侍从
toe	 [təʊ]	n. 	脚趾，脚尖；（鞋，袜的）足尖部；[体]高尔夫球棒的尖端；轴踵
		vt. 	用脚尖触；[体]用高尔夫球棒尖端击；斜钉（钉子）；动脚尖，脚尖朝（方向）
		vi. 	动脚尖；用足尖跳舞
la	 [lɑ:]	abbr. 	Lao People's Republic 老挝人民共和国
reward	 [rɪˈwɔ:d]	n. 	报酬；报答；赏金；酬金
		vt. 	酬谢，奖赏；报答，惩罚
Acting	 [ˈæktɪŋ]	adj. 	代理的；起作用的；活动着的；产生影响的
		n. 	表演；演技；装腔作势；做作
		vt. 	举止合宜：使举止与…相称；扮演：担任…的角色；表演；假装
		vi. 	举动，举止；扮演，担当；矫揉造作，假装；行动，运作
forbid	 [fəˈbɪd]	vt. 	禁止；阻止；阻碍；妨碍
closer	 ['kləʊzə]	adj. 	靠近的
		n. 	关闭者；砌墙边之砖石；最后的节目
efficiency	 [ɪˈfɪʃnsi]	n. 	效率，效能；实力，能力；[物]性能；功效
tower	 [ˈtaʊə(r)]	n. 	塔，楼塔；要害地；〈罕〉（负伤鸟的）笔直向上飞；〈美〉铁路信号所
		vi. 	远远高于，远远超过；高耸，超越
		na. 	“Towers“的变体
bathe	 [beɪð]	vt.& vi. 	给…洗澡，游泳；把…浸泡在液体中；（用海绵等）洗；把…弄湿，润湿
		vt. 	冲洗；浸；用水清洗（尤指身体部位）；（以光线）撒满
		n. 	游泳；（在河，海中的）游泳
European	 [ˌjʊərəˈpi:ən]	adj. 	欧洲的，欧洲人的；欧盟的
		n. 	欧洲人
showing	 [ˈʃəʊɪŋ]	n. 	（电影、电视节目等的）展映；放映；（在某事件中或某一期间的）表现；表演
		v. 	给…看( show的现在分词 )；表现出；显露出；上演
Boston	 ['bɒstən]	n. 	波士顿（美国马萨诸塞州首府）
swallow	 [ˈswɒləʊ]	vt.& vi. 	吞，咽；忍耐，忍受
		vt. 	不流露；忍受，轻信
		n. 	[鸟]燕子；胃管，食道；一次吞咽的量；（滑车等的）通索孔
advice	 [ədˈvaɪs]	n. 	劝告，忠告；（商业）通知；建议；（政治，外交上的）报导，报告
multiply	 [ˈmʌltɪplaɪ]	vt.& vi. 	乘；（使）相乘；（使）增加；（使）繁殖
		adv. 	多样地；复合地；多倍地；[电学]并联地，多路地
		adj. 	多层的；多样的；多股的
beach	 [bi:tʃ]	n. 	海滩，海滨；岸上的沙子和卵石
		vt. 	将…拖上岸；将滑艇拖到小屋前面的岸边
bow	 [bəʊ]	n. 	弓；鞠躬；船头；艏
		vi. 	（向…）弯腰，鞠躬
		vt. 	低头；俯首；垂首；（使）弯曲
agent	 [ˈeɪdʒənt]	n. 	代理人；代理商；药剂；特工
		vt. 	由…作中介；由…代理
		adj. 	代理的
possibly	 [ˈpɒsəbli]	adv. 	可能地；也许，或许；敢是；容许
pump	 [pʌmp]	n. 	泵；打气筒；轻软舞鞋；轻便帆布鞋（英式英语）
		vt.& vi. 	用抽水机汲水；给…打气；用泵（或泵样器官等）输送；涌出
		vt. 	用泵抽；注入，似用泵来拉、转或倒；抽水，从。。除去水；骑自行车的人上下蹬踏板
tests		n. 	试验( test的名词复数 )；考验；测验；化验
		v. 	测验( test的第三人称单数 )；考查；考验；勘探
kid	 [kɪd]	n. 	小孩；小山羊，小山羊皮制品
		vt.& vi. 	欺骗，戏弄，取笑
		adj. 	较年幼的；小山羊皮制的
artists	 ['a:tɪsts]	n. 	艺术家( artist的名词复数 )；美术家；能手；大师
finish	 [ˈfɪnɪʃ]	vt.& vi. 	完成；结束；吃光；使筋疲力尽
		n. 	结尾；结束；最后阶段；抛光
tour	 [tʊə(r)]	n. 	旅行，观光；巡回演出；任职期；轮班
		vt. 	到…旅游；在…巡回演出
		vi. 	观光；巡回
weapon	 [ˈwepən]	n. 	武器，兵器
		vi. 	武装，提供武器
continuing	 [kən'tɪnjʊɪŋ]	adj. 	继续的，连续的，持续的
		v. 	继续，连续( continue的现在分词 )；持续；逗留；停留
idle	 [ˈaɪdl]	adj. 	无意义的；空闲的；懒惰的；无根据的
		vi. 	虚度；空转；挂空挡；未熄火
		vt. 	虚度；使空转
		n. 	（尤指暂时地）关闭工厂，使（工人）闲着
prepare	 [prɪˈpeə(r)]	vt. 	准备；预备（饭菜）；配备；使（自己）有准备
		vt.& vi. 	筹备，进行各项准备工作；做好思想准备；作出，制订；锻炼（身体等），训练
Associated	 [əˈsəʊʃieɪtɪd]	vt. 	合伙，合营；联合，结合；联想
		vi. 	联系(associate的过去式和过去分词)；联盟；陪伴
		n. 	合伙人；伴侣，同志；联想物，附随物；会员集体
		adj. 	（用于联合企业的名称）联合的；有关联的；联合的
fever	 [ˈfi:və(r)]	n. 	发热，发烧；热病；一时的狂热；激动不安
		vt. 	引起发热；使狂热；使患热病
		vi. 	发热或变得发热；狂热；患热病
data	 [ˈdeɪtə]	n. 	资料，材料；datum的复数；[计算机]数据，资料；从科学实验中提取的价值
regret	 [rɪˈgret]	vt. 	后悔，悔恨；遗憾，抱歉；悼念，哀悼
		vi. 	感到后悔，感到抱歉
		n. 	遗憾，惋惜；后悔，悔恨；哀悼
