enclose	 [ɪnˈkləʊz]	vt. 	（用墙、篱笆等）把…围起来；把…装入信封；附入
DECISIONS		n. 	决定( decision的名词复数 )；果断；决议；（法院的）判决
harden	 [ˈhɑ:dn]	vt. 	使硬化；使经得起考验；使无情；使轮廓鲜明
		vi. 	变硬或更硬；变稳定；变习惯
highway	 [ˈhaɪweɪ]	n. 	公路；公用通道；干线；途径，方法
restaurant	 [ˈrestrɒnt]	n. 	饭店；餐馆；饭馆；菜馆
pride	 [praɪd]	n. 	自尊；骄傲；自满；（狮）群
		vt. 	以…而自豪， 得意于…
		vi. 	自豪，骄傲，得意
unable	 [ʌnˈeɪbl]	adj. 	不能的，不会的；无能力的，不熟练的；不能胜任的；〈罕，诗〉弱，无力的
wicked	 [ˈwɪkɪd]	adj. 	邪恶的；缺德的；淘气的，顽皮的；恶劣的
FACED	 [feɪst]	adj. 	具有…脸型的；有…表面的；有…贴边的；饰面的
		v. 	面对( face的过去式和过去分词 )；面向…；正视；承认
stiffen	 [ˈstɪfn]	vt.& vi. 	（使）变硬，（使）强硬；使绷紧；使猛烈；使粘稠
reduction	 [rɪˈdʌkʃn]	n. 	减少；降低；[数学]约简；[摄影术]减薄
Republican	 [rɪˈpʌblɪkən]	adj. 	共和国的；共和政体的；共和主义的；共和党员
		n. 	拥护共和政体者，共和主义者；共和党的
silk	 [sɪlk]	n. 	丝，蚕丝；丝绸，丝织物；（用于缝纫的）丝线；王室法律顾问
		vi. 	（玉米）处于长须的阶段中
		adj. 	丝的；丝绸的；丝制的
energy	 [ˈenədʒi]	n. 	[物]能量；活力；精力；精神
positions	 [pə'zɪʃənz]	n. 	职位( position的名词复数 )；地位；阵地；状态
upright	 [ˈʌpraɪt]	adj. 	直立的；垂直的；正直的；诚实的
		adv. 	垂直[竖立]地
		n. 	（支撑用的）直柱，立放构件
selfish	 [ˈselfɪʃ]	adj. 	自私的，利己的
raw	 [rɔ:]	adj. 	生的，未加工的；无经验的；新近完成的；发炎的，疼痛的
		vt. 	擦伤；使赤身露体
		n. 	（身体的）擦伤部位；红肿部位；半成品；原料
stripe	 [straɪp]	n. 	条纹；种类；军士军阶；犯人穿的横条囚衣
		vt. 	使带有条纹
pig	 [pɪg]	n. 	猪；猪肉；令人不快（或讨厌）的人；金属块（锭）
		vi. 	生小猪；像猪一样过活；举止像猪；贪吃
		vt. 	吃得过量，大吃特吃；生小猪
supported	 [sə'pɔ:tɪd]	v. 	支持( support的过去式和过去分词 )；帮助；支撑；维持
inward	 [ˈɪnwəd]	adj. 	向内的；内部的；本质上的；亲密的
		adv. 	向内；内心里
		n. 	内部；内脏
examine	 [ɪgˈzæmɪn]	vt. 	检查，调查；考试；诊察；审问
		vi. 	检查；调查
excellence	 [ˈeksələns]	n. 	优秀，卓越；优点；美德
excess	 [ɪkˈses]	n. 	超过；超额量；多余量；放肆
		adj. 	超重的，过量的，额外的
machines		n. 	机器( machine的名词复数 )；机械装置；机动车辆；飞机
