saucer	 [ˈsɔ:sə(r)]	n. 	茶杯托，茶碟；（放花盆的）垫盘（等）；浅碟形盆地；〈美〉拳击场
madden	 [ˈmædn]	vt. 	使狂怒，使发狂
via	 [ˈvaɪə]	prep. 	经过；通过，凭借；取道
scold	 [skəʊld]	vt. 	责骂
		vi. 	责骂；斥责
		n. 	常骂人的人
gift	 [gɪft]	n. 	赠品，礼物；天赋；赠送；天资
		vt. 	赋予；向…赠送；天赋权力（或才能等）；授予
missile	 [ˈmɪsaɪl]	n. 	导弹；投射物
		adj. 	导弹的；可投掷的；用以发射导弹的
weekday	 [ˈwi:kdeɪ]	n. 	平日，普通日；工作日
functions	 ['fʌnkʃənz]	n. 	功能( function的名词复数 )；依赖别事物的事物；函数；官能
rotten	 [ˈrɒtn]	adj. 	腐烂的；恶臭的；堕落的；极坏的
		adv. 	非常；极其
disrespect	 [ˌdɪsrɪˈspekt]	n. 	失礼，无礼
		vt. 	不尊敬，不尊重
occasionally	 [əˈkeɪʒnəli]	adv. 	偶尔；偶然；有时候
widower	 [ˈwɪdəʊə(r)]	n. 	鳏夫
deafen	 [ˈdefn]	vt. 	使聋；使隔音；淹没
		vi. 	变聋
donkey	 [ˈdɒŋki]	n. 	驴，毛驴；笨蛋，傻瓜；（美国）民主党的象征
businesslike	 [ˈbɪznəslaɪk]	adj. 	事务性的；公事公办的；有条理的；有效率的
personality	 [ˌpɜ:səˈnæləti]	n. 	生而为人；人格，人品，个性；人物；名人
concrete	 [ˈkɒŋkri:t]	adj. 	具体的，有形的，实在的，实际的；固结成的，混凝土制的；图案诗歌的
		n. 	混凝土；具体物；（图案式）有形诗；〔建〕钢筋混凝土
		vt. 	使凝固；用混凝土修筑；萃取
		vi. 	凝固；固结；变坚固；使用混凝土
motherhood	 [ˈmʌðəhʊd]	n. 	母亲身份；母性；母亲们（总称）
precisely	 [prɪˈsaɪsli]	adv. 	精确地；恰好地；严谨地，严格地；一丝不苟地
sadden	 [ˈsædn]	v. 	使悲哀；使伤心
exact	 [ɪgˈzækt]	adj. 	准确的；严密的；精密的，精确的
		vt. 	要求；苛求；迫使；强求
handshake	 [ˈhændʃeɪk]	n. 	握手
calculator	 [ˈkælkjuleɪtə(r)]	n. 	计算器；计算者；计算图表
swung	 [swʌŋ]	v. 	（使）摇摆( swing的过去式和过去分词 )；（使）摇荡；（使）旋转；（使）突然转向
headdress	 [ˈheddres]	n. 	饰头巾，头发编梳的式样
seek	 [si:k]	vt. 	寻找，探寻；追求，谋求；往或朝…而去；[废语]考察
		vi. 	查找，查寻；找一找
maintained	 [meɪn'teɪnd]	v. 	保持( maintain的过去式和过去分词 )；保养；坚持；保卫
scissors	 [ˈsɪzəz]	n. 	剪刀；两腿前后错跃
		v. 	剪开( scissor的第三人称单数)；作剪式移动（尤指腿）
distant	 [ˈdɪstənt]	adj. 	遥远的；冷漠的，冷淡的；远离的，远隔的；不太清晰的
drinking	 [ˈdrɪŋkɪŋ]	n. 	喝饮料，喝酒
		v. 	喝（酒）( drink的现在分词 )；饮；喝酒；（尤指）酗酒
translator	 [trænsˈleɪtə(r)]	n. 	译员；翻译者；翻译家；翻译机
intelligence	 [ɪnˈtelɪdʒəns]	n. 	智力；聪颖；情报；情报机构
possessor	 [pəˈzesə(r)]	n. 	拥有者
shilling	 [ˈʃɪlɪŋ]	n. 	先令（英国1971年以前的货币单位，为一镑的二十分之一）
observe	 [əbˈzɜ:v]	vt.& vi. 	观察；研究
		vt. 	遵守；观察；庆祝
		vi. 	注意；说；评述；当观察员
redden	 [ˈredn]	vt.& vi. 	（使）变红
		vi. 	（由于羞愧、愤怒、天气热等）脸变红
motherly	 [ˈmʌðəli]	adj. 	慈母般的
cultivator	 [ˈkʌltɪveɪtə(r)]	n. 	中耕机；耕耘机；耕种者；农民
Hearst	 [hə:st]	 	赫斯特（姓氏； William Randolph, 1863-1951，美国新闻经营者； Willian Randolph, Jr.， 1908-，美国新闻经营者）
sad	 [sæd]	adj. 	悲哀的；糟糕的；可悲的；令人遗憾的
BONDS		n. 	镣铐，监禁；[常作复数]结合（力）( bond的名词复数 )；结合物；联系；连接
homework	 [ˈhəʊmwɜ:k]	n. 	家庭作业；功课
denied	 [dɪ'naɪəd]	adj. 	拒签
		v. 	拒绝( deny的过去式和过去分词 )；拒绝承认；拒绝…占有；否认知情
electrician	 [ɪˌlekˈtrɪʃn]	n. 	电工，电气技师
bills	 [bɪls]	n. 	账单( bill的名词复数 )；钞票；清单；广告
oar	 [ɔ:(r)]	n. 	桨，橹；划手
		vi. 	划（行）
bribery	 [ˈbraɪbəri]	n. 	行贿；[法]贿赂
employment	 [ɪmˈplɔɪmənt]	n. 	雇用；使用；职业；有益的活动
initial	 [ɪˈnɪʃl]	adj. 	最初的；开始的；首字母的
		n. 	首字母；[语音学]声母；特大的大写字母
		vt. 	用姓名的首字母签名
sweeten	 [ˈswi:tn]	vt. 	使甜，把…弄香；使温和；使愉快；使悦耳
		vi. 	变甜
sow	 [səʊ]	vt.& vi. 	播（种），播种于
		vt. 	灌输；激起；散布；煽动
		n. 	母猪
sympathetic	 [ˌsɪmpəˈθetɪk]	adj. 	同情的，有同情心的；赞同的；相投合的，称心的；〈口〉抱好感的
traffic	 [ˈtræfɪk]	n. 	交通，运输量；（非法的）交易；通信量；交际
		vt. 	用…作交换；在…通行
		vi. 	交易；买卖
FEARS		n. 	害怕( fear的名词复数 )；可能性；（对神等的）敬畏；忧虑
		v. 	畏惧( fear的第三人称单数 )；为…忧虑（或担心、焦虑）；敬畏（神等）；感到害怕
pronunciation	 [prəˌnʌnsiˈeɪʃn]	n. 	发音；读法；发音方法；发音方式
beak	 [bi:k]	n. 	（猛禽等的）嘴，喙；鹰钩鼻；地方执法官
Cuba	 ['kju:bə]	n. 	古巴（由古巴岛及其临近诸小岛组成的国家，首都为哈瓦那）
		abbr. 	中国大学生篮球联赛；英语为Chinese University Basketball Association；是一个中国篮球协会主办的高校之间的篮球联赛。
bone	 [bəʊn]	n. 	骨头；尸骨；骨质物；有…样的骨头的
		vt. 	挑鱼刺，剔骨头；剔去…的骨
		vi. 	苦学；专心致志
plural	 [ˈplʊərəl]	adj. 	复数的
		n. 	复数；复数形式；复数词
sold	 [səʊld]	v. 	卖，售，销( sell的过去式和过去分词 )；经销；推销；出卖
clerk	 [klɑ:k]	n. 	店员；办事员，职员；书记员；牧师，教士
		vi. 	当职员；当销售员
fellowship	 [ˈfeləʊʃɪp]	n. 	友谊，交情；会社，团体；研究员职位；学术奖金
thousands	 ['θaʊzndz]	n. 	数千；一千( thousand的名词复数 )；数千；许许多多；千位数
engaged	 [ɪnˈgeɪdʒd]	adj. 	（指厕所等）有人用的；已订婚的；（指电话）占线的；忙碌的
		v. 	与某人订婚；保证，约定；从事( engage的过去式和过去分词)；吸引或引起（注意、兴趣等）
accident	 [ˈæksɪdənt]	n. 	意外事件；事故；机遇，偶然；附属品
provision	 [prəˈvɪʒn]	n. 	规定，条项，条款；预备，准备，设备；供应，（一批）供应品；生活物质，储备物资
		vt.& vi. 	为…提供所需物品（尤指食物）
purchase	 [ˈpɜ:tʃəs]	v. 	购买；采购；换得；依靠机械力移动
		n. 	购买；购买行为；购置物；紧握
minimum	 [ˈmɪnɪməm]	n. 	最低限度；最小量；最低消费；[数]极小值
		adj. 	最低的；最小的；最少的
career	 [kəˈrɪə(r)]	n. 	生涯；职业；事业；速度，全速
		adj. 	作为毕生职业的
		vi. 	全速前进，猛冲
MOSCOW	 ['mɒskəʊ]	n. 	莫斯科（俄罗斯首都）
violent	 [ˈvaɪələnt]	adj. 	暴力引起的；剧烈的，（风，爆炸等）猛烈的，狂暴的；感情强烈的；颜色强烈的
expansion	 [ɪkˈspænʃn]	n. 	扩大；扩张；扩张物；膨胀物
discuss	 [dɪˈskʌs]	vt. 	讨论，谈论；论述，详述；商量
testimony	 [ˈtestɪməni]	n. 	（法庭上证人的）证词；证明，证据；表示，表明；声明，宣言
prior	 [ˈpraɪə(r)]	adj. 	优先的；占先的；在…之前
		n. 	小修道院院长，大修道院的副院长；（隐修院）会长；[史]行政长官；普赖尔
		adv. 	在前；居先
substance	 [ˈsʌbstəns]	n. 	物质，材料；实质，内容；[神]灵；（织品的）质地
appropriate	 [əˈprəʊpriət]	adj. 	适当的；恰当的；合适的
		v. 	盗用；侵吞；拨（专款等） 
lights	 [laɪts]	n. 	（供食用的）家畜的肺脏；光( light的名词复数 )；火柴；光源；[宗教]灵光
		v. 	点火( light的第三人称单数 )；（使）容光焕发；（使）发光；（使）发亮
potential	 [pəˈtenʃl]	adj. 	潜在的，有可能的；[语法学]可能语气的，表示可能性的；有能力的
		n. 	潜力，潜能；[物]电位，势能；潜能的事物；[语]可能语气
impact	 [ˈɪmpækt]	n. 	碰撞，冲击，撞击；影响；冲击力
		vt. 	挤入，压紧；撞击；对…产生影响
		vi. 	冲撞，冲击；产生影响
remarkable	 [rɪˈmɑ:kəbl]	adj. 	异常的，引人注目的，；卓越的；显著的；非凡的，非常（好）的
surely	 [ˈʃʊəli]	adv. 	无疑；一定，确实；（回答）当然，好；保管
humor	 ['hju:mə]	n. 	幽默，心情，诙谐
		vt. 	迎合，牵就，顺应
shoot	 [ʃu:t]	vi. 	拍摄；射击；发芽
		vt. 	（用枪等）打猎；拍摄；给…注射；射门，投篮
		n. 	幼苗，嫩芽；发射；摄影；狩猎
		int. 	感叹词（用于表示惊奇，并不强烈的愤怒或失望）
Opera		abbr. 	Paris Opera 巴黎歌剧院；Super Junior演唱的日文歌曲
Italian	 [ɪ'tælɪən]	n. 	意大利人；意大利语；意大利国民
		adj. 	意大利的；意大利人的；意大利语的；意大利文化的
singing	 [ˈsɪŋɪŋ]	n. 	唱歌；鸟鸣；振鸣；（机器或系统）技术先进
		v. 	唱，歌唱(sing的现在分词)；（鸟）鸣；嗡嗡叫；呜呜作响
		adj. 	唱歌的；音乐般的
score	 [skɔ:(r)]	n. 	得分；分数；总谱；20个
		v. 	得分；记分；评分；获得胜利
