burned	 [bɜ:nd]	v. 	（使）燃烧( burn的过去式和过去分词 )；使用某物为燃料；烧毁；烧坏
observations	 [ɒbzə'veɪʃnz]	n. 	观察资料( observation的名词复数 )；观察力；注意；言论
prime	 [praɪm]	adj. 	最好的；首要的；最初的；基本的
		n. 	精华；初期；全盛时期；青年
		vt. 	使准备好；填装；事先指导
		adv. 	极好地
		vi. 	（为枪炮）装火药；涂底漆；修剪树枝；注水入泵引起
drawing	 [ˈdrɔ:ɪŋ]	n. 	绘画；制图；图画；图样
		v. 	绘画(draw的现在分词)；拖；拉；拔出
storm	 [stɔ:m]	n. 	暴风雨，暴风雪；[军]猛攻，冲击；骚乱；动荡
		vi. 	起风暴，下暴雨；猛冲；暴怒
		vt. 	袭击，猛攻；暴怒，怒骂；大力迅速攻占
Winston		n. 	温斯顿(m.)
desegregation	 [ˌdi:ˌseɡrɪ'ɡeɪʃn]	n. 	废除种族隔离
medium	 [ˈmi:diəm]	adj. 	中等的，中级的；普通的；平均的；半生熟的
		n. 	媒介物，媒质；中间，中庸，[生]培养基，培养液，颜料溶解液，[数]中数，平均，[逻]中名辞；手段，方法；中间物
suspicion	 [səˈspɪʃn]	n. 	怀疑；嫌疑；疑心；〈口〉一点儿
		vt. 	怀疑
diameter	 [daɪˈæmɪtə(r)]	n. 	直径，直径长；放大率
guidance	 [ˈgaɪdns]	n. 	指导，引导；导航；领导
improvement	 [ɪmˈpru:vmənt]	n. 	改进，改善，改良，增进，进步；（美）装修，改良措施；利用，活用；更优秀的人，更进步的人
presumably	 [prɪˈzju:məbli]	adv. 	据推测；大概；可能；想来
bars	 [bɑ:z]	n. 	马上的齿龈；酒吧间( bar的名词复数 )；售酒的（饮食）柜台；条；（门、窗等的）闩vi.
brings	 [brɪŋz]	v. 	带来( bring的第三人称单数 )；促使；提供；使朝（某方向或按某方式）移动
Papa	 [pəˈpɑ:]	n. 	爸爸
warmth	 [wɔ:mθ]	n. 	温暖，暖和；热情，热心；激动；诚恳
indicates		v. 	标示( indicate的第三人称单数 )；指示；象征；表明或暗示…的可能性
painted	 ['peɪntɪd]	adj. 	描画的，着色的
		v. 	画，绘画( paint的过去式和过去分词 )；描绘；在…上涂涂料[油漆]；往（指甲、嘴唇等上）施化妆品
pile	 [paɪl]	n. 	桩；一堆；绒头；摞
		vt. 	堆起；堆叠；放置；装入
		vi. 	蜂拥，拥挤
eleven	 [ɪˈlevn]	num. 	十一；十一个；第十一
		n. 	十一；十一个
		adj. 	十一的；十一个的
shouted	 ['ʃaʊtɪd]	v. 	呼，喊，叫( shout的过去式和过去分词 )；大声讲
agriculture	 [ˈægrɪkʌltʃə(r)]	n. 	农业；农耕；农业生产；农学
criticism	 [ˈkrɪtɪsɪzəm]	n. 	批评，批判；鉴定，审定，考证，校勘；苛求，[哲]批判主义；评论，评论文章
psychological	 [ˌsaɪkəˈlɒdʒɪkl]	adj. 	心理的；精神上的，精神（现象）的；心理学（上）的；关于心理学的
thrown	 [θrəʊn]	v. 	投( throw的过去分词 )；掷；扔；抛
glance	 [glɑ:ns]	vi. 	一瞥；闪微光；掠过，擦过；随便提到，简略地触及
		n. 	浏览；闪光；歪斜，一掠
regions	 ['ri:dʒənz]	n. 	地区( region的名词复数 )；[数学]区域；（艺术、科学等的）领域；行政区
mobile	 [ˈməʊbaɪl]	adj. 	可移动的；行动自如的；易变的；流动性的
		n. 	风铃；手机
stranger	 [ˈstreɪndʒə(r)]	n. 	陌生人，不认识的人；外地人；局外人；门外汉
		adj. 	不熟悉的，陌生的(strange)的比较级
rank	 [ræŋk]	n. 	阶层，等级；军衔；次序，顺序；行列
		vt.& vi. 	排列，使成横排；把…分类
		vt. 	排列；超过，高于；把…分等级
		vi. 	位于；使成横排；抱怨；吹毛求疵，揭疮疤
		adj. 	讨厌的；极端的；繁茂的；恶臭的
Pope	 [pəʊp]	n. 	（罗马天主教的）教皇
fate	 [feɪt]	n. 	命运，宿命；灾难，死亡；命中注定的事（尤指坏事）
		v. 	注定
horizon	 [həˈraɪzn]	n. 	地平线；范围；界限；眼界
contribute	 [kənˈtrɪbju:t]	vt.& vi. 	贡献出；捐赠（款项）；投稿（给杂志等）；出力
parallel	 [ˈpærəlel]	adj. 	平行的；相同的，类似的；[电]并联的；[计]并行的
		adv. 	平行地，并列地
		n. 	平行线（面）；相似物；类比；纬线
		vt. 	使平行；与…媲美；与…相比；与…相似
shear	 [ʃɪə(r)]	vt. 	剪羊毛；切断；剪切；剥夺
		vi. 	剪切；修剪；穿越；[力]切变
		n. 	大剪刀；剪下的东西；剪切；[力]切力
rode	 [rəʊd]	v. 	乘，骑，驾( ride的过去式 )；（骑马、自行车等）穿越；搭乘；飘浮
