missing	 [ˈmɪsɪŋ]	adj. 	失去的；下落不明的
		v. 	错过( miss的现在分词)
attract	 [əˈtrækt]	vt. 	吸引；诱惑；引起…的好感（或兴趣）
		vi. 	具有吸引力；引人注意
favorable	 ['feɪvərəbl]	adj. 	赞同的；称赞的；有利的；讨人喜欢的
involving	 [ɪn'vɒlvɪŋ]	v. 	表明（某人参与了罪行等）( involve的现在分词 )；使参与；牵涉；使专心于
urgent	 [ˈɜ:dʒənt]	adj. 	急迫的；催促的；强求的；极力主张的
benefits		n. 	津贴费；利益( benefit的名词复数 )；（给职工的）奖金；救济金；益处
matching	 [ˈmætʃɪŋ]	v. 	使…相配(match的ing形式)
		adj. 	相配的；一致的；相称的
		n. 	匹配
decline	 [dɪˈklaɪn]	n. 	下降；（力量、健康、品格、权力、价值等的）衰退；下倾；（人、生命等的）衰退期
		vt.& vi. 	辞谢，谢绝（邀请等）
		vi. 	（道路、物体等）下倾；（太阳）落下；（在品格、价值上）降低；衰落，谢绝
		vt. 	谢绝，婉拒
fewer	 ['fju:ə]	pron. 	（动词用复数）较少数
		adj. 	较少的；不多的( few的比较级 )；很少；（与复数名词和复数动词连用）有些；几个
naval	 [ˈneɪvl]	adj. 	（有）海军的，军舰的，船的
string	 [strɪŋ]	n. 	绳子，带子；线丝，植物纤维；串；[计算机科学]字符串
		vt. 	上弦，调弦；使排成一行或一系列；绑，系或用线挂起；延伸或扩展
Prince		 	[人名] 普林斯；[地名] [加拿大、美国] 普林斯；[电影]王子
stems		n. 	（花草的）茎( stem的名词复数 )；词干；（高脚酒杯的）脚；烟斗柄
		v. 	遏制[阻止]（液体的流动等）( stem的第三人称单数 )；封堵；遏止
quarrel	 [ˈkwɒrəl]	n. 	争吵，口角；反目；抱怨…的原因（理由）；[史]方镞箭，角镞箭
		vi. 	争辩，争吵；不同意；挑剔；责备，埋怨
charter	 [ˈtʃɑ:tə(r)]	n. 	许可证；纲领；宪章；包租
		vt. 	发给…许可证；发给特许执照
presentation	 [ˌpreznˈteɪʃn]	n. 	陈述；报告；介绍；赠送
Campus		 	[人名] 坎帕斯；[电影]校园风波
owner	 [ˈəʊnə(r)]	n. 	物主，所有人
classical	 [ˈklæsɪkl]	adj. 	古典的，经典的；传统的；古典文学的；第一流的
		n. 	古典音乐
branches		n. 	树枝( branch的名词复数 )；分支；（机构、组织、体系的）一部分；[航海学]（领航员在某一水域的）领航执照
carbon	 [ˈkɑ:bən]	n. 	[化学]碳；（一张）复写纸；[电]碳精棒[片，粉]，碳精电极；复写的副本
		adj. 	碳的；碳处理的
merchant	 [ˈmɜ:tʃənt]	n. 	商人；批发商；店主；零售商
		adj. 	商人的；商业的
harmony	 [ˈhɑ:məni]	n. 	协调；融洽，一致；和谐；[音]和声
pipe	 [paɪp]	n. 	管子；烟斗；管乐器；（管风琴的）音管
		vt. 	以管输送；用管乐器演奏；尖声唱
		vi. 	吹奏管乐器；尖叫；尖声地说（或唱），尖声啼鸣；[航海] 吹长哨
determining	 [dɪ'tɜ:mɪnɪŋ]	v. 	（使）下决心， （使）做出决定( determine的现在分词 )；决定；确定；使决定
strictly	 [ˈstrɪktli]	adv. 	严格地；完全地
Rev		 	[人名] 雷夫
Andy	 ['ændɪ]	n. 	Andrew 的昵称
		 	[男子名] 安迪 Andrew的昵称
package	 [ˈpækɪdʒ]	vt. 	包装；把…装箱；向…提出一揽子计划
