bullet	 [ˈbʊlɪt]	n. 	子弹，弹药；弹丸；[印]着重号
Stained	 [steɪnd]	adj. 	玷污的，褪色的
		v. 	（使）染色( stain的过去式和过去分词 )；褪色，变污；玷污，败坏（名声）
drugs	 [drʌgz]	n. 	药物( drug的名词复数 )；药剂；麻醉药；毒品
sergeant	 [ˈsɑ:dʒənt]	n. 	[军]军士，中士；警官，巡官；高级律师；〈美〉一种地对地导弹
optimal	 [ˈɒptɪməl]	adj. 	最佳的，最优的；最理想的
polynomial	 [ˌpɒlɪ'nəʊmɪəl]	adj. 	多项式的，多词学名（指由两个以上的词构成的学名）的
		n. 	多项式，由2字以上组成的学名
Ramey		 	[人名] 雷米；[地名] [美国] 雷米
operated	 ['ɒpəreɪtɪd]	adj. 	操作的，多操作者同时工作的
		v. 	运转( operate的过去式和过去分词 )；操作；经营；管理
responses	 [rɪs'pɒnsɪz]	n. 	反应( response的名词复数 )；回答；（礼拜仪式中的）答唱咏；[基督教]（礼拜仪式中会众同牧师）轮流应答（或吟唱）的祈祷文
voted		 	表决的
veteran	 [ˈvetərən]	n. 	经验丰富的人，老兵；退伍军人
		adj. 	有作战经验的；老兵的；[美国英语]退伍军人的；老练的，资深的，经验丰富的
motive	 [ˈməʊtɪv]	n. 	动机，主旨；（艺术作品的）主题，题材
		adj. 	运动的；动机的；发动的
		vt. 	促使
pistol	 [ˈpɪstl]	n. 	手枪
		v. 	用手枪射击
permits		n. 	许可( permit的名词复数 )；许可证；执照
		v. 	允许( permit的第三人称单数 )；许可
sphere	 [sfɪə(r)]	n. 	球（体）；（兴趣或活动的）范围；势力范围；天体，如行星或恒星
		vt. 	形成球体；包围，围绕；置于球面内部
requirement	 [rɪˈkwaɪəmənt]	n. 	要求；必要条件；必需品，需要量；资格
MARSHALL	 ['mɑ:ʃəl]	n. 	元帅；典礼官；执法官；法官的随行官员（等于judge's marshal）
		vt. 	安排；引领；统帅
		vi. 	各就各位；按次序排列成形（等于marshal）
aids		abbr. 	acquired immune deficiency syndrome 获得性免疫缺乏综合征（爱滋病）；acute infectious diseases 急性传染病；aircraft integrated data system 飞行器集成数据系统
		n. 	助手( aid的名词复数 )；外援；辅助设备vi.；帮助
absolutely	 [ˈæbsəlu:tli]	adv. 	绝对地；完全地；毫无疑问地；[语]独立地，分离地
placing	 [ˈpleɪsɪŋ]	n. 	配售；名次；灌筑
scattered	 [ˈskætəd]	adj. 	分散的；零散的；疏落的；到处都是…的
critics	 [k'rɪtɪks]	n. 	批评家( critic的名词复数 )；评论员；批评者；挑剔的人
