longer	 [ˈlɒŋgə(r)]	adj. 	比较久的；（距离，长度）长的( long的比较级 )；长时间的；（因忙或不愉快等）似乎比实际时间长的；长音的
Dr		abbr. 	(=dead reckoning)速度三角形定位法；(=doctor)医生，博士
dark	 [dɑ:k]	adj. 	黑暗的；乌黑的；忧郁的；神秘的
		n. 	黑暗；暗色；暗处
various	 [ˈveəriəs]	adj. 	各种各样的；多方面的；许多的；各个的，个别的
finally	 [ˈfaɪnəli]	adv. 	最后，终于；总算；末后；结果
hour	 [ˈaʊə(r)]	n. 	小时，钟头；时间，时刻；固定时间；课时
north	 [nɔ:θ]	n. 	北方；北部；（美国南北战争时与南方作战的）北部各州；北方发达国家（尤指欧洲和北美各国）
		adj. 	北方的；北部的；朝北的；（风，光线）来自北方的
		adv. 	在北方；自北地；向北方
third	 [θɜ:d]	n. 	第三；三分之一；第三档
		adj. 	第三的；三分之一的
fall	 [fɔ:l]	v. 	落下；跌倒；减少；沦陷
		n. 	落下；瀑布；秋天；减少
greater	 [ɡreɪtə]	adj. 	大的(great的比较级)
pressure	 [ˈpreʃə(r)]	n. 	压（力）；压力；气压（或血压）（的缩略形式）；压（迫）感
		vi. 	施加压力；迫使；使（机舱等）增压
stage	 [steɪdʒ]	n. 	阶段；舞台；戏剧；驿站
		vt.& vi. 	上演，演出；筹办，举行；适于上演；坐公共马车旅行
		vt. 	举行；展现；上演；筹划
		vi. 	适于上演，适合在舞台上演出；乘公交车（或驿车）旅行；[军事]中间集结，扎营
expected	 [ɪkˈspektɪd]	adj. 	（用作定语）预期要发生的，期待中的
		v. 	期望( expect的过去式和过去分词 )；预料；要求；认为（某事）会发生
secretary	 [ˈsekrətri]	n. 	秘书；干事，书记员； 部长，大臣
needed	 ['ni:dɪd]	v. 	需要，必须( need的过去式和过去分词 )；（表示应该或不得不做）有必要
kept	 [kept]	adj. 	受人资助控制的
		v. 	（使）保持， （使）继续（ keep的过去式和过去分词 ）；（食品）保持新鲜；保有；保存
eye	 [aɪ]	n. 	眼睛；视力；眼状物；风纪扣扣眼
		vt. 	定睛地看；注视；审视；细看
values	 ['væljʊz]	n. 	对价值的看法；准则；标准；价值观念；值( value的名词复数 )；价值；价值标准；（货币、邮票等的）面值
		v. 	估价( value的第三人称单数 )；重视；给…定价；评价
union	 [ˈju:niən]	n. 	同盟，联盟；协会，工会；联合，团结
		adj. 	工会的
private	 [ˈpraɪvət]	adj. 	私有的，私人的；秘密的；内心的；平民的，无官职的，士兵的
		n. 	列兵，士兵，[陆]二等兵；〈古〉私人，个人；阴部，生殖器
alone	 [əˈləʊn]	adj. 	单独的；独一无二的；独自的
		adv. 	单独地；独自地；孤独地；只，只有
black	 [blæk]	adj. 	黑（色）的；黑色人种的；黑暗的；不加牛奶的
		n. 	黑色；黑人；黑颜料；黑暗
		v. 	使变黑；抵制；拒绝；使变黑暗
required	 [rɪ'kwaɪəd]	adj. 	必须的，（学科）必修的
		v. 	要求( require的过去式和过去分词 )；需要；想要；命令
space	 [speɪs]	n. 	空间，太空；空白，间隔；空隙；片刻
		vt. 	把…分隔开，留间隔于…之间
		vi. 	以一定间隔排列
subject	 [ˈsʌbdʒɪkt]	n. 	主题，话题；学科，科目；[哲]主观
		adj. 	须服从…的；（在君主等）统治下的
		v. 	提供，提出；使…隶属
english	 [ˈɪŋglɪʃ]	n. 	英语
		adj. 	英格兰的；英国的；英语的；英格兰人的
month	 [mʌnθ]	n. 	月，月份；一个月的时间
understand	 [ˌʌndəˈstænd]	vt.& vi. 	懂，理解
		vt. 	了解；默认；听说；领会
nor	 [nɔ:(r)]	conj. 	也不；也不是；和 neither 或 not 连用；去甲
answer	 [ˈɑ:nsə(r)]	vt.& vi. 	答复； 解答； 答辩；适应
		n. 	回答；答案；反应；足以媲美的人
moved	 [mu:vd]	adj. 	受感动的
		v. 	移动，搬动( move的过去式和过去分词 )；搬家；行动；进展
amount	 [əˈmaʊnt]	n. 	量，数量；总额；本利之和；全部效果，全部含义
		vi. 	（在意义、价值、效果、程度等方面）等于；等同，接近；合计，总共；发展成为
conditions	 [kən'dɪʃnz]	n. 	（居住、工作或做事情的）环境；（影响某事发生的）物质环境；承保险别；条件( condition的名词复数 )；状况；健康状况；环境
direct	 [dəˈrekt]	adj. 	直接的；直的；直系的；率直的
		adv. 	直接地；径直地；直截了当地；正好
		vt. 	（用建议、指示、有益的情报等）指导；导演（戏剧或电影）；指示方向；把…对准（某方向或某人）
		vt.& vi. 	指导，导演，管理
		vi. 	引路；当向导；领唱；领奏
red	 [red]	adj. 	红色的；（脸）涨红的；烧红的；红头发的
		n. 	红色；红衣服；红颜料；红葡萄酒
student	 [ˈstju:dnt]	n. 	学生，大学生；研究者，学者；中学生；初学者
rest	 [rest]	n. 	休息；剩余部分；支持物；宁静，安宁
		vt.& vi. 	（使）休息；（使）倚靠[支撑]
		vi. 	休息；静止；停止；安心
		vt. 	使休息；使轻松；使长眠；使依赖
nations		n. 	国家( nation的名词复数 )；民族；国民
heart	 [hɑ:t]	n. 	心，心脏；感情；要点；胸部
		vt. 	鼓励；激励
		vi. 	结心
costs	 ['kɒsts]	n. 	讼费，诉讼费用；不惜任何代价；价钱( cost的名词复数 )；花费；牺牲；[用复数][法律]诉讼费（尤指判处败方偿付胜方的诉讼费用）
		v. 	价钱为，花费( cost的第三人称单数 )；估计成本；付出（代价）；估价
record	 [ˈrekɔ:d]	n. 	记录，记载；档案，履历；唱片；最高纪录
	 [riˈkɔ:d]	vt.& vi. 	记录，记载；标明；录音
		adj. 	创纪录的
picture	 [ˈpɪktʃə(r)]	n. 	照片，画像；图画，图片；影片；情景
		vt. 	构想，想象；描绘，画；描述
taking	 ['teɪkɪŋ]	adj. 	吸引人的；迷人的；唾手可得；随手可拿
		adv. 	引人注目地，迷人地
		n. 	引人注目，迷人
		v. 	拿( take的现在分词 )；接受；学习；取得
hours		n. 	小时( hour的名词复数 )；固定时间；一小时的时间或行程；重要时刻
deal	 [di:l]	vt. 	[牌戏]分；分配；经营；施予
		n. 	（一笔）交易；许多；待遇；发牌
		vi. 	论述；（有效地或成功地）处理；惩处；交易
		adj. 	冷杉木制的，松木制的
forces	 ['fɔ:sɪz]	n. 	力( force的名词复数 )；武力；（社会）势力；气力
		v. 	强制( force的第三人称单数 )；强作；施强力于；促成早熟
everything	 [ˈevriθɪŋ]	pron. 	每件事物；最重要的东西；（有关的）一切；万事
write	 [raɪt]	vt.& vi. 	写；写信；写作；作曲
coming	 [ˈkʌmɪŋ]	adj. 	即将到来的；下一个的；将要遭到报应；自食恶果
		n. 	（尤指新事物的）到来；到达
		v. 	来( come的现在分词)；到达；达到（认识、理解或相信的程度）；出生
effort	 [ˈefət]	n. 	努力，尝试；工作；成就；杰作
market	 [ˈmɑ:kɪt]	n. 	交易；市集；需求；交易情况，行情
		vt. 	在市场上出售某物；推销
		vi. 	去市场买东西
island	 [ˈaɪlənd]	n. 	岛，岛屿
		vt. 	使孤立
wall	 [wɔ:l]	n. 	墙；屏障；隔阂；壁垒
		vt.& vi. 	筑墙围住，用墙隔开；围以墙
		adj. 	墙壁的
purpose	 [ˈpɜ:pəs]	n. 	意志；目的；作用；（进行中的）行动
		vt. 	有意；打算；企图（做）；决意（做）
basis	 [ˈbeɪsɪs]	n. 	基础；主要成分；基准，基本原则
east	 [i:st]	n. 	东，东方；东方国家；〈诗〉东风
		adj. 	东方的，向东方的；从东方来的
		adv. 	向东方（地）
lost	 [lɒst]	adj. 	失去的；迷路的；不知所措的
		v. 	遗失，失去（ lose的过去式和过去分词）；（使）失去（所需要的东西，尤指钱）；（因事故、年老、死亡等）损失；浪费
St		n. 	街，街道(=street)；足阳明胃经；[电影]牛奶
except	 [ɪkˈsept]	vt. 	把…除外；不计
		prep. 	除…外
		conj. 	[口语]要不是；除非；除…以外
		vi. 	反对，表示异议（与 to 或 against连用）
letter	 [ˈletə(r)]	n. 	信；证书，许可证；字母，文字；字面意义
		vt. 	用字母标明；写字母于；加标题
		vi. 	写印刷体字母
looking	 ['lʊkɪŋ]	adj. 	有…样子的，有…相貌的
		v. 	看，瞧( look的现在分词 )；注意；面向；寻找
property	 [ˈprɒpəti]	n. 	特性，属性；财产，地产；[戏]道具；所有权
Miles		n. 	迈尔斯（男子名）
		 	[男子名] [英格兰人姓氏] 迈尔斯来源于由古法语演变而来的日耳曼语人名Milo,含义是不详；[男子名] [英格兰人姓氏] 迈尔斯取自父名，来源于Michael的古法语缩略形式；[男子名] [英格兰人姓氏] 迈尔斯职业名称，来源于拉丁语，含义是“士兵”(soldier)；[地名] [澳大利亚、美国] 迈尔斯
difference	 [ˈdɪfrəns]	n. 	差别，差异；[数]差数，差额；意见分歧；特色
		vt. 	辨别，区分
entire	 [ɪnˈtaɪə(r)]	adj. 	全部的；整个的；全体的；囫囵
else	 [els]	adv. 	其他；否则；另外
		adj. 	别的；其他的
color	 ['kʌlə(r)]	n. 	颜色，色彩；肤色，脸色，血色；颜料，染料；本质
		v. 	给…涂颜色；改变…的颜色；粉饰，渲染，使带上色彩；脸红
followed	 ['fɒləʊd]	v. 	跟随，接着（ follow的过去式和过去分词 ）；继承；（按时间、顺序等）接着；从事
feeling	 [ˈfi:lɪŋ]	n. 	感觉，知觉，情绪；感情；气氛
		adj. 	富有感情的，有感觉的；有同情心的，仁慈的
		v. 	感觉；认为(feel的现在分词)
son	 [sʌn]	n. 	儿子；孩子；男性后裔；圣子（耶稣基督）
makes	 [meɪks]	v. 	使( make的第三人称单数 )；成为；做；认为
friend	 [frend]	n. 	朋友，友人；资助者；助手；近亲
		v. 	与…为友
basic	 [ˈbeɪsɪk]	adj. 	基本的；[化学]碱性的；[地质学]基性的；首要的
		n. 	基础，基本；基本原则，基本原理，基本规律；要素；基础训练
cold	 [kəʊld]	adj. 	寒冷的；冷淡的，无情的；失去知觉的；[艺]有冷感的，冷色的
		n. 	寒冷；感冒，伤风
		adv. 	完全地
including	 [ɪnˈklu:dɪŋ]	prep. 	包括；包含
		v. 	包括( include的现在分词)；包含；列入；包住
single	 [ˈsɪŋgl]	adj. 	单一的；（打斗、比赛等）一对一的；惟一的；适于一人的
		n. 	单程票；（旅馆等的）单人房间；[复数]（高尔夫球一对一的）二人对抗赛；[常用复数][美国、加拿大英语]未婚（或单身）男子（或女子）
		vt. 	挑选
		vi. 	作一垒手
attention	 [əˈtenʃn]	n. 	注意，注意力；照料，关怀；殷勤
		int. 	[口令]立正
note	 [nəʊt]	n. 	笔记；便笺；音符；钞票
		vt. 	注意；记录；对…加注释；指出
cause	 [kɔ:z]	n. 	原因；动机；（某种行为、感情等的）理由；缘故
		vt. 	成为…的原因；导致；引起；使遭受
hundred	 [ˈhʌndrəd]	num. 	一百；许多；100 到 999 间的数目；某个世纪的年代
		n. 	一百；许多
