sponsor	 [ˈspɒnsə(r)]	n. 	发起者，主办者；担保者；倡议者，提案人；后援组织
		vt. 	赞助
complained		v. 	抱怨，诉苦，投诉( complain的过去式和过去分词 )；申诉，控诉，抗议；诉说，申诉，控告[后面常跟从句]
expects		v. 	期望( expect的第三人称单数 )；预料；要求；认为（某事）会发生
Gulf	 [gʌlf]	n. 	海湾；分歧；波斯湾；（地面的）裂口
		vt. 	吞没；卷进
physics	 [ˈfɪzɪks]	n. 	物理学；物理现象；物理成分
relatives	 [relə'tɪvz]	n. 	亲属( relative的名词复数 )；相关物；亲缘植物（或动物）；[语法学]关系词
Morris	 [ˈmɔris]	 	莫里斯（男子名，姓氏 Maurice 的异体）
Capitol	 ['kæpɪtl]	n. 	美国国会大厦；古罗马Jupiter神殿；(c-)州议会大厦
carries		v. 	支撑( carry的第三人称单数 )；携带；输送；运载
rehabilitation	 [ˌri:əˌbɪlɪ'teɪʃn]	n. 	修复；复兴；复职；恢复名誉
troubles		n. 	麻烦( trouble的名词复数 )；困难；困境；动乱
		v. 	费神，费心( trouble的第三人称单数 )；使烦恼，使忧虑
appreciation	 [əˌpri:ʃiˈeɪʃn]	n. 	欣赏；鉴赏；感谢；评估；增值
suited	 [ˈsu:tɪd]	adj. 	适合…的；合适的
		v. 	适合于（某人）；适合，符合…的要求；合身；使适合
earliest	 [ˈɜ:liɪst]	adj. 	早的(early的最高级)；早期的；早熟的；早日的
		n. 	最早，作为最早期的
trucks		n. 	货车( truck的名词复数 )；（铁路的）无盖货车；（行李）搬运车；1 （铁路上运送货物或动物的）敞篷车
retained		v. 	保持( retain的过去式和过去分词 )；拦住；保存；止住
strategy	 [ˈstrætədʒi]	n. 	策略，战略；战略学
posts		n. 	邮件( post的名词复数 )；邮局；邮政；邮递
		v. 	张贴( post的第三人称单数 )；宣布；设岗；邮寄
intentions		n. 	意图( intention的名词复数 )；意向；目的；打算
bid	 [bɪd]	n. 	出价，投标；努力争取；喊价；叫牌
		vt.& vi. 	出价， 投标
		vt. 	恳求；命令；说（问候话）；邀请，致敬
		vi. 	投标；力求，企图得到或赢得某物；企图(for)
conspiracy	 [kənˈspɪrəsi]	n. 	阴谋；反叛；共谋
investigations	 [ɪnvestɪ'ɡeɪʃnz]	n. 	（正式的）调查( investigation的名词复数 )；侦查；科学研究；学术研究
uncertain	 [ʌnˈsɜ:tn]	adj. 	不确定的；不稳定的；不明确的；无常的
overseas	 [ˌəʊvəˈsi:z]	adv. 	在[向]海外，在[向]国外
		adj. 	（在）海外的，（在）国外的；（向或来自）外国的
Ralph	 [reif, rælf]	n. 	拉尔夫（男子名）
MIAMI		abbr. 	metoprolol in acute myocardial infarction 美托洛尔用于治疗急性心肌梗死
exhibition	 [ˌeksɪˈbɪʃn]	n. 	陈列，展览；展览品，陈列品；表明；[法]（证据等的）提出
HITS		abbr. 	head-end in the sky 天网卫星系统前端；high-speed integrated test system 高速综合测试系统；Homicide Investigation Tracking System 杀人调查跟踪系统
pitch	 [pɪtʃ]	n. 	场地；最高点；音高；说教
		vt. 	用沥青涂；扔，投；树起，搭起；定位于
		vi. 	抛，扔；[棒球]当投手；搭帐篷；向前跌或冲
Palm	 [pɑ:m]	n. 	手掌；手心；棕榈树 ；由Palm公司发明的一种PDA上的操作系统
		v. 	将…藏于掌中
triumph	 [ˈtraɪʌmf]	n. 	胜利；巨大的成就；（成功的）典范；（巨大成功或胜利的）心满意足
		vi. 	获胜；克服；打败；战胜
Baltimore	 [ˈbɔ:ltimɔ:]	n. 	巴尔的摩，美国马里兰州的一城市
doubtful	 [ˈdaʊtfl]	adj. 	难以预测的；难以预料的，未定局的；怀疑的，拿不准的；不明不白
statistics	 [stə'tɪstɪks]	n. 	统计，统计学，统计法，统计资料；统计数字；“statistic”的复数
spectacular	 [spekˈtækjələ(r)]	adj. 	场面富丽的，壮观的；引人注意的；惊动一时的；惊人的
		n. 	壮观的场面，精彩的表演；〈美〉一小时半以上的大场面电视节目；特大霓虹灯广告
sighed		v. 	叹气，叹息( sigh的过去式和过去分词 )；悲鸣；叹着气说；叹息道
balanced	 [ˈbælənst]	adj. 	平稳的，平衡的；和谐的，有条不紊的；安定的
		v. 	“balance”的过去式和过去分词
respects		n. 	敬意，问候；考虑( respect的名词复数 )；关联；敬意
		v. 	尊重( respect的第三人称单数 )；尊敬；关心；慎重对待
nerves	 [nɜ:vs]	n. 	神经质，神经紧张；神经( nerve的名词复数 )；勇气；神经过敏；鲁莽
dealt	 [delt]	v. 	[牌戏]分( deal的过去式和过去分词 )；分配；经营；施予
engagement	 [ɪnˈgeɪdʒmənt]	n. 	订婚，婚约；约会；约定，契约；雇用
Vienna	 [viˈenə]	n. 	维也纳（奥地利首都）
merchants	 ['mɜ:tʃənts]	n. 	商人( merchant的名词复数 )；（某活动的）爱好者，热中于…的人
altered		adj. 	[医]改变的
		v. 	改变，更改( alter的过去式和过去分词 )
Ambassador	 [æmˈbæsədə(r)]	n. 	大使，使节；（派驻联合国等国际组织的）代表；特使；[比喻]使者
